논문 제목,핵심 내용,AI의 특징,고객 세그먼트,가치 제안,채널,고객 관계,수익 흐름,핵심 자원,핵심 활동,핵심 파트너십,비용 구조,추가영역 제시,비즈니스 캔버스 모델의 틀을 바꿔 새로운 비즈니스 캔버스 모델을 제시,기타,오류
IDSS-BM Intelligent Decision Support System for Business Models.pdf,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음
IoT Big Data Value Map How to Generate Value from IoT Data.pdf,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음
Issues concerning IoT adoption for energy and comfort management in intelligent buildings in India.pdf,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음
Lessons Learned from Developing a Sustainability Awareness Framework for Software Engineering Using Design Science.pdf,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음
Metaverse Perspectives from Japan A Participatory Speculative Design Case Study.pdf,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음
Models for Innovative IoT Ecosystems.pdf,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음
Navigating the new frontier the impact of artificial intelligence on students' entrepreneurial competencies.pdf,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음
Participatory design of business models.pdf,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음
Public AI canvas for AI-enabled public value A design science approach.pdf,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음
"REBALANCING INTEGRATED, DEMAND-RESPONSIVE PASSENGER AND FREIGHT TRANSPORT – AN AGENT-BASED SIMULATION APPROACH.pdf",API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음
Reliable Cloud Software Development Architectures and Business Models Case Study RIDEaaS and GAE Launcher.pdf,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음
Research on Business Model Innovation of Online Education.pdf,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음
Research on the Business Model Innovation in Online Tourism Services A Case Study of Ctrip.pdf,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음
Social Robot Co-Design Canvases A Participatory Design Framework.pdf,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음
Text Mining Enabled CEET@I Methodology for Business Model Analysis with the Case of Shared bicycle.pdf,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음
The Augmentation of Interest in a Community Application for PetHub via Data-Informed Content Recommendations Tailored.pdf,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음
The hedonic price model of online short-term rental market based on machine learning.pdf,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음
The Qualitative Background of why a DSL knowledge based platform is needed in the context of Sustainability.pdf,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음
Towards an Educational Design Pattern Language for Massive Open Online Courses (MOOCs).pdf,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음
"Trigeneration based on the pyrolysis of rural waste in India Environmental impact, economic feasibility and business model innovation.pdf",API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음,API 응답 없음
