논문 제목,핵심 내용,AI의 특징,고객 세그먼트,가치 제안,채널,고객 관계,수익 흐름,핵심 자원,핵심 활동,핵심 파트너십,비용 구조,추가영역 제시,비즈니스 캔버스 모델의 틀을 바꿔 새로운 비즈니스 캔버스 모델을 제시,비즈니스 모델 캔버스(BMC) 활용 여부,기타,오류
해당 항목 없음,"본 논문은 혁신적인 무역 개발의 마케팅 지향의 필요성을 강조하며, 소매 구조(RS)의 혁신적인 개발을 위한 비즈니스 모델을 체계화하고 제시합니다. 주요 방향은 마케팅 활동 유형 변경, 소득으로서의 가치 획득 방법, RS 관리 메커니즘 변화를 통해 가치 창출 논리를 변경하는 것입니다. 이 연구는 핵심 가치 증가와 관련된 무역 기업의 비즈니스 모델 혁신 유형을 분류하고, 소매 구조의 혁신적인 개발 비즈니스 모델 구축의 다양한 측면에 대한 연구로 이어질 것입니다.","본 논문에서는 AI 자체의 특징을 직접적으로 다루지는 않지만, AI 기술이 소매업 운영 및 고객 경험에 미치는 영향에 대해 논의합니다. 특히, 소비자 요구에 대한 대응, 자동화된 고객 지원, 데이터 기반 의사 결정 지원 등의 측면에서 AI의 역할을 강조합니다.","소매 구조(RS), 소비자, 제조업체, 파트너 및 정부를 포함한 이해관계자","마케팅 지향적인 비즈니스 모델을 통해 혁신적인 소매 구조 개발을 위한 프레임워크를 제공하고, 효율성 증대, 고객 만족도 향상, 경쟁 우위 확보 등을 가능하게 합니다. 또한, 새로운 가치 창출 및 획득 방법을 모색하고, 고객 요구에 더 잘 부응할 수 있도록 지원합니다.","이 논문에서는 특정 채널을 명시적으로 언급하지 않지만, 옴니 채널 전략을 통해 다양한 채널(이메일, 모바일, 소셜 미디어 등)을 활용하여 고객과 소통하는 방식을 강조합니다.","고객 참여를 장려하고, 고객 피드백을 수집하여 쇼핑 경험을 개선하며, 장기적인 관계를 구축하는 것을 목표로 합니다.","이 논문에서는 수익 흐름에 대한 구체적인 정보는 제공하지 않지만, 혁신적인 비즈니스 모델을 통해 경쟁 우위를 확보하고 수익성을 개선할 수 있다고 제시합니다.","마케팅 지식, IT 자산, 고객 데이터, 전문 인력 및 파트너십","연구 개발, 데이터 분석, 모델 학습, 시스템 배포, 사용자 교육 및 마케팅 캠페인","기술 기업, 연구 기관, 정부 부처 및 제조업체","인건비, 인프라 비용, 유지보수 비용, 마케팅 비용, 연구 개발 비용","본 논문에서는 전통적인 비즈니스 모델 캔버스 외에 가치 창출 로직, 가치 획득 방법, 마케팅 관리 메커니즘 및 프로세스 변화를 추가적인 분석 관점으로 제시합니다. 이는 소매 구조의 혁신적인 개발을 위한 비즈니스 모델의 특징을 더 잘 설명하기 위함입니다.",N,Y,연구의 한계점으로는 소매업의 다양한 측면을 포괄적으로 다루지 못했다는 점과 특정 산업 분야에 대한 심층적인 분석이 부족하다는 점이 있습니다. 향후 연구 방향으로는 다양한 산업 분야에 적용 가능한 일반화된 모델 개발과 실제 소매 기업에 대한 사례 연구 등이 제시됩니다.,해당 항목 없음
해당 항목 없음,"본 논문은 실험 기반 소프트웨어 개발(experiment-driven software development) 접근 방식에서 가설 엔지니어링(Hypotheses Engineering)이라는 새로운 분야의 필요성을 제안한다. 기존 요구사항 엔지니어링(Requirements Engineering)과 비교하여 가설을 적절하게 관리하는 것이 중요함을 강조하고, 이 분야 내에서 일련의 실천 방안을 도출하여 기존 연구에서 어떻게 다루어졌는지 제시한다. 또한, 실무자에게 도움이 될 수 있는 미래 연구를 위한 연구 질문들을 제시한다.","본 논문에서는 인공지능(AI) 기반 개발을 언급하며, 이는 팀이 입력 데이터를 기반으로 작동하고 이전 작업에서 학습하는 구성 요소를 생성하기 위해 AI 기술을 사용하는 접근 방식이라고 설명한다.","본 논문은 소프트웨어 개발 팀, 제품 관리자, 고객, 사용자 등을 주요 대상으로 한다. 특히, 실험 기반 소프트웨어 개발을 통해 고객에게 가치를 제공하고자 하는 팀이 주요 수혜자가 될 수 있다.","가설 엔지니어링은 실험을 통해 사용자 또는 고객에 대한 학습을 최적화하고, 시간과 자원의 낭비를 최소화하며, 제품 로드맵에 의미 있는 가설을 식별하는 데 도움을 준다. 이는 궁극적으로 소프트웨어 개발의 성공 가능성을 높이고, 사용자 만족도를 향상시키는 데 기여한다.","논문에서 특정 채널을 명시적으로 언급하지는 않지만, 실험 결과는 개발 팀과의 커뮤니케이션을 통해 전달되며, 사용자 피드백 루프를 통해 지속적으로 개선된다.","실험 기반 개발에서는 사용자 피드백 루프가 중요한 역할을 한다. 프로토타입을 사용하거나 베타 테스트를 통해 초기 단계부터 사용자 피드백을 수집하고, 이를 바탕으로 가설을 검증하고 제품을 개선한다.","본 논문은 수익 흐름을 직접적으로 다루지 않지만, 실험 기반 개발을 통해 불필요한 기능 개발을 줄이고 사용자에게 실제로 가치를 제공하는 기능에 집중함으로써 개발 비용을 절감하고, 제품의 시장 성공 가능성을 높여 간접적으로 수익 창출에 기여할 수 있다.","본 논문에서 제시하는 핵심 자원은 다음과 같다. 1)가설 관리 방법론, 2) 실험 데이터, 3) 사용자 피드백, 4) 프로토타입 및 테스트 도구.","본 논문에서 제시하는 핵심 활동은 다음과 같다. 1) 가설 생성, 2) 가설 문서화, 3) 가설 분석, 4) 가설 우선순위 결정, 5) 실험 설계 및 실행, 6) 데이터 분석 및 학습, 7) 가설 업데이트 및 개선.","본 논문에서는 특정 파트너십을 명시적으로 언급하지 않지만, 기술 기업, 연구 기관, 사용자 그룹, 데이터 분석 전문가 등이 실험 기반 개발에 참여하는 핵심 파트너가 될 수 있다.","본 논문은 비용 구조를 직접적으로 다루지 않지만, 실험 기반 개발의 주요 비용 항목은 다음과 같다. 1) 실험 설계 및 실행 비용, 2) 데이터 분석 비용, 3) 사용자 피드백 수집 비용, 4) 개발 팀 인건비.","본 논문은 가설 엔지니어링이라는 새로운 분야를 제시하며, 이는 실험 기반 소프트웨어 개발의 성공을 위해 가설을 체계적으로 관리하고 분석하는 것이 중요하다는 점을 강조한다. 특히, 가설 생성, 문서화, 분석, 우선순위 결정 등의 활동을 통해 불확실성을 줄이고, 사용자 가치를 극대화하는 데 초점을 맞춘다.",N,Y,"본 논문은 가설 엔지니어링의 필요성을 강조하고 있지만, 아직 초기 단계의 연구이며, 가설 관리 방법론, 실험 설계, 데이터 분석 등에 대한 구체적인 가이드라인이 부족하다는 한계가 있다. 향후 연구에서는 이러한 한계점을 보완하고, 실제 소프트웨어 개발 프로젝트에 적용 가능한 실용적인 방법론을 개발하는 것이 필요하다.",해당 항목 없음
IDSS-BM Intelligent Decision Support System for Business Models.pdf,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,JSON 추출 실패
IoT Big Data Value Map How to Generate Value from IoT Data.pdf,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,JSON 추출 실패
해당 항목 없음,"본 논문은 인도의 지능형 빌딩에서 에너지 및 쾌적성 관리를 위한 IoT 도입과 관련된 주요 문제를 식별하고 가치 사슬 전반에 걸쳐 이러한 문제를 조사하기 위해 델파이 방법을 사용합니다. 델파이 연구에는 지능형 빌딩 가치 사슬 전반에 걸쳐 모든 중요한 이해관계자를 대표하는 총 24명의 주제 전문가로 구성된 3개의 전문가 패널이 참여했습니다. 연구 결과는 이해 관계자가 프로젝트에 IoT 시스템을 배포할 때 실질적으로 사용할 수 있으며, 유사한 기후 조건을 가진 다른 신흥 경제국에서도 유용할 것입니다.","본 논문에서는 인공지능 기반 데이터 처리, 특히 빌딩 관리 시스템(BMS)의 네트워크 센서와 관련된 AI의 특징을 언급하고 있습니다. 이러한 시스템은 데이터를 분석하고 의사 결정을 자동화하여 에너지 효율성을 높이고 사용자 쾌적성을 개선하는 데 사용될 수 있습니다.","지능형 빌딩의 사용자, 건물 소유주, 시설 관리자, 설계자, 시공사, 에너지 효율성 컨설턴트, 정부 기관 등","에너지 효율성 향상, 운영 비용 절감, 사용자 쾌적성 증대, 지속 가능성 개선, 빌딩 관리 자동화","IoT 기반 빌딩 관리 시스템, 센서 네트워크, 클라우드 플랫폼, 모바일 앱, 사용자 인터페이스","자동화된 시스템 모니터링 및 제어, 사용자 피드백 기반 맞춤형 서비스 제공, 원격 액세스 및 제어","에너지 절감으로 인한 비용 절감, 정부 보조금, IoT 시스템 판매 및 유지 보수, 데이터 분석 서비스 제공, 건물 관리 서비스 제공","전문 인력 (건축가, 엔지니어, 데이터 과학자), IoT 장치 및 센서, 데이터, 클라우드 컴퓨팅 인프라, 델파이 방법론, 지능형 빌딩 관련 지식 및 전문성","IoT 시스템 연구 및 개발, 데이터 수집 및 분석, 모델 학습, 시스템 통합 및 배포, 사용자 교육 및 지원, 건물 성능 모니터링 및 최적화","기술 기업 (IoT 장치 제조업체, 소프트웨어 개발사), 연구 기관 (대학, 연구소), 정부 기관 (에너지부, 건설부), 건물 소유주 및 관리자, 건축가 및 건설 회사","인건비 (전문가 패널, 연구 인력), IoT 장치 및 센서 구매 비용, 클라우드 컴퓨팅 인프라 비용, 소프트웨어 라이선스 비용, 유지 보수 비용, 교육 비용","인도 시장의 특성 (가격 민감도, 초기 투자 비용 부담, 유지 보수 문제), 핫-휴미드 기후 조건에 따른 특수한 고려 사항 (비대칭적인 열-시각적 쾌적성, 에너지 관련 거주자 행동), 정부 정책 및 규제 (에너지 관세 보조금, 녹색 건물 인증)",N,Y,"이 연구는 델파이 방법을 사용하여 인도 지능형 빌딩 시장에서 IoT 도입에 영향을 미치는 주요 요인을 식별하고 분석했습니다. 연구 결과는 IoT 기반 에너지 및 쾌적성 관리 시스템의 성공적인 구현을 위한 실질적인 지침을 제공하며, 유사한 신흥 경제국에도 적용될 수 있습니다.",해당 항목 없음
해당 항목 없음,"이 논문은 디자인 과학 방법론을 사용하여 소프트웨어 엔지니어링에서 지속 가능성 인식 프레임워크(SusAF)를 개발한 경험을 설명하고, 시스템 개발 중 잠재적인 지속 가능성 영향을 예측하고 완화하는 데 도움이 되는 SusAF 개발 과정에서 직면한 과제와 교훈을 제시합니다. 또한, 이 연구는 소프트웨어 공학 연구, 교육 및 실무에 미치는 영향에 대해 논의하며, 지속 가능성 분석 도구 개발에 대한 통찰력을 제공하는 것을 목표로 합니다.","논문에 등장하는 Vector Institute for Artificial Intelligence는 AI 연구기관이지만, 연구 대상인 SusAF 자체는 AI 기술을 활용하는 도구가 아니므로, AI의 구체적인 기술적 특징은 명시되어 있지 않습니다.","이 논문의 주요 고객 세그먼트는 소프트웨어 엔지니어, 소프트웨어 설계자, IT 실무자, 그리고 학계의 학생과 연구자입니다. 이들은 SusAF 프레임워크를 사용하여 IT 제품 및 서비스의 지속 가능성 영향을 분석하고 개선하는 데 관련된 사람들입니다.","SusAF 프레임워크는 IT 제품 및 서비스의 잠재적인 지속 가능성 영향을 식별하고 평가할 수 있는 구조화된 접근 방식을 제공합니다. 이를 통해, IT 실무자는 지속 가능성을 고려한 의사 결정을 내리고, 잠재적인 부정적 영향을 완화하며, 긍정적인 영향을 증진할 수 있습니다.","SusAF 프레임워크는 워크숍, 강의, 설문 조사, 그리고 강사/조정자의 피드백을 통해 사용자에게 전달됩니다. 또한, 프레임워크, 질문지, 사용 설명서, 워크북 등은 젠도(Zenodo) 저장소에서 공개적으로 이용 가능합니다.",SusAF 프레임워크는 사용자 피드백을 수집하고 이를 프레임워크 개선에 반영하는 반복적인 디자인 프로세스를 통해 사용자 관계를 구축합니다. 워크숍 및 강의에서 학생 및 실무자와의 협력을 통해 지속적인 개선이 이루어집니다.,"이 논문에서 SusAF 프레임워크 개발은 카탈루냐 연구 및 대학 부서와 EPSRC의 지원을 받았다고 명시되어 있습니다. 하지만, 구체적인 수익 창출 모델이나 자금 조달 방식에 대한 정보는 제공되지 않습니다.","SusAF 프레임워크 개발의 핵심 자원은 전문 인력(연구진, 소프트웨어 엔지니어), 디자인 과학 방법론, 사용자 피드백, 그리고 지속 가능성 관련 지식 및 경험입니다. 또한, 다양한 사례 연구 및 데이터셋도 중요한 자원으로 활용되었습니다.","SusAF 프레임워크 개발의 핵심 활동은 디자인 과학 연구, 반복적인 디자인 및 평가, 사용자 피드백 분석, 프레임워크 개선, 워크숍 진행, 그리고 결과 문서화입니다.","SusAF 프레임워크 개발에는 푼트방엔 대학교, LUT 대학교, 라 살레 대학교, 브리스톨 대학교, 벡터 인공지능 연구소, 웨스트 잉글랜드 대학교, 응용과학예술대학교 북서 스위스, 허더즈필드 대학교 등 다양한 기관과의 파트너십이 있었습니다.","논문에서 언급된 주요 비용 항목은 인건비, 연구 개발 비용, 워크숍 운영 비용, 그리고 데이터 수집 및 분석 비용입니다.","이 논문은 IT 제품 및 서비스가 사회기술적 시스템에 미치는 지속가능성 영향을 분석하기 위해 기존의 비즈니스 모델 캔버스 외에 시간적 관점(단기, 중기, 장기 영향)과 지속가능성의 다양한 차원(환경, 경제, 사회, 개인, 기술)을 결합한 SusAF 프레임워크를 제시하여 분석의 폭을 넓혔습니다. 이는 IT 시스템의 복잡한 상호작용과 장기적인 영향을 고려하기 위함입니다.",N,N,"논문에서는 SusAF 프레임워크 개발에 디자인 과학 방법론을 적용하는 데 있어 시간 제약, 범위 및 측정의 어려움, 인류 중심적 관점의 한계 등의 방법론적 문제점을 지적하고 있습니다. 또한, 지속가능성 영향 분석을 위한 효율적인 도구와 방법의 필요성을 강조하며, 향후 연구 방향을 제시합니다.",해당 항목 없음
해당 항목 없음,"이 논문은 참여적 추측 디자인(PSD) 접근 방식을 사용하여 일본 시민의 미래 메타버스 사회에 대한 관점과 사회적, 윤리적 의미를 탐구합니다. 연구는 PSD가 메타버스와 같은 새로운 기술에 대한 비판적 담론에 시민을 참여시키는 데 효과적임을 보여주고, 참가자 관점에서 주요 테마를 식별하여 가상 환경의 문화적으로 민감한 설계 및 개발에 대한 통찰력을 제공합니다. 참가자들은 메타버스가 다양한 사회 문제를 해결할 잠재력이 있다고 상상하며, 인공지능(AI)과 관련된 윤리적 고려 사항을 제기합니다.","참가자들은 미래 메타버스 사회에서 인공지능(AI)의 역할을 강조하며, 인간-AI 관계, 기술적 해결주의, 정치 및 기술, 세계화 및 지역 문화, 몰입형 기술에 대한 중요한 질문을 제기합니다. 이 연구는 AI가 메타버스를 구체화하고 사회적 상호 작용에 영향을 미치는 핵심 기술임을 시사합니다.",이 연구의 주요 고객 세그먼트는 미래 메타버스 사회에 영향을 받는 일본 시민입니다. 연구는 다양한 연령대와 배경을 가진 시민들의 관점을 포착하여 사회적 지속 가능성과 포용성을 향상시키는 데 기여합니다.,"이 연구는 메타버스와 같은 새로운 기술에 대한 비판적 담론에 시민을 참여시키는 효과적인 방법을 제시하고, 가상 환경의 문화적으로 민감한 설계 및 개발에 대한 통찰력을 제공합니다. 또한 미래 메타버스 사회의 사회적, 윤리적 의미에 대한 이해를 증진합니다.","연구 결과는 워크숍 프레임워크와 참가자 프로세스를 통해 공유됩니다. 또한, 연구 결과를 알리기 위해 학술 출판물과 프레젠테이션을 활용합니다. 워크숍 광고는 워크숍 웹페이지와 peatix.com과 같은 이벤트 등록 사이트에서 제공되었습니다.","연구는 시민들의 관점을 통합하여 메타버스 개발에 대한 보다 포용적이고 지속 가능한 접근 방식을 모색합니다. 워크숍에서 참여자들은 서로 상호 작용하고, 촉진자들은 명확성을 위해 질문을 명확히하고 불확실성을 해소하기 위해 그룹을 정기적으로 방문했습니다.",논문에서 기술이나 모델의 수익 창출 방식에 대한 직접적인 언급은 없습니다. 그러나 연구는 정부 지원금(JST Moonshot R&D Grant Number JPMJMS2013 및 JSPS KAKENHI Grant Number JP23H03896)으로 지원받았다고 명시되어 있습니다.,"연구의 핵심 자원으로는 워크숍 참가자, PSD 툴킷, 협업 디지털 플랫폼 Mural, 데이터 세트(그룹 내러티브 및 워크숍 문서), 전문 연구 인력 및 학문-산업 협력(도쿄 괴테 연구소 및 대학교) 등이 있습니다.","연구의 핵심 활동에는 PSD 워크숍 설계 및 구현, 데이터 수집, 정성 분석(액탄트 모델 및 프로세스 코딩), 워크숍 결과 분석 및 해석, 연구 결과 제시 등이 포함됩니다.","연구는 문화 협회 Mutek, 도쿄 괴테 연구소 및 디자인 스튜디오와 파트너십을 맺고 있습니다.","논문에서 기술 개발, 구현, 운영과 관련하여 발생하는 주요 비용 항목에 대한 직접적인 언급은 없습니다. 그러나 연구에는 인건비, 인프라 비용(워크숍 장소, 디지털 플랫폼), 홍보비 및 워크숍 자료 개발 비용이 포함됩니다.",이 연구는 PSD 워크숍에서 사회 기술 시스템으로서의 메타버스를 탐구하고 향후 사회에서 함께 살아가는 방법에 대한 담론을 불러일으킵니다. 이 연구는 책임감 있는 혁신을 위한 Stilgoe et al.의 프레임워크에 가치를 더할 수 있습니다.,N,N,"이 연구는 PSD 방법론의 한계점, 일본 특정 맥락, 향후 연구 방향 제시 등 추가 정보를 제공합니다. 연구는 워크숍 참가자들의 언어를 충실하게 포착하는 데 중요성을 강조합니다. 또한, 메타버스 개발 팀은 물리적 및 가상 현실의 병합과 관련된 잠재적 위험을 사전에 예측하고 완화해야 한다고 주장합니다.",해당 항목 없음
해당 항목 없음,"본 논문은 사물 인터넷(IoT)의 진화 배경과 비즈니스 관점에서의 변화를 간략하게 소개하고, 수직적 및 수평적 IoT 비즈니스 모델의 두 가지 주요 유형을 분석합니다. Intel, Amazon, Google, Microsoft, IBM 등의 기업들이 수평적 통합을 위해 채택한 다양한 접근 방식을 검토하며, 수평적 통합이 미래에 가장 유망한 모델임을 강조합니다.",해당 사항 없음 (AI 자체의 특징을 직접적으로 다루고 있지는 않음. IoT 플랫폼에서 활용되는 AI 기술을 간략히 언급),"IoT 솔루션 개발자, 서비스 제공업체, 최종 사용자 (산업 및 소비자 모두)","IoT 솔루션 개발 및 배포 속도 향상, 상호 운용성, 확장성, 보안 강화, 데이터 관리 및 분석 기능 제공","클라우드 플랫폼 (예: Intel IoT Platform, Google IoT Platform, Amazon IoT Platform, Microsoft Azure IoT Hub, IBM Watson IoT Platform), API, SDK","플랫폼 제공 업체의 기술 지원, 개발자 커뮤니티, 맞춤형 서비스 (특정 플랫폼에 따라 다름)","종량제 과금 모델, 구독 모델, 라이선스, 컨설팅 및 시스템 통합 서비스, IoT 디바이스 및 제품 판매 (간접 수익)","클라우드 인프라, IoT 플랫폼 소프트웨어, API, SDK, 데이터 관리 및 분석 도구, 보안 기능, 전문 인력, 파트너십","IoT 플랫폼 개발 및 유지보수, 데이터 관리 및 분석, 보안 관리, 파트너십 구축, 개발자 지원, 마케팅 및 판매","IoT 디바이스 제조업체, 통신 사업자, 시스템 통합 업체, 소프트웨어 개발 회사, 클라우드 제공업체","인건비, 인프라 비용, 소프트웨어 개발 및 유지보수 비용, 마케팅 및 판매 비용, 파트너십 관리 비용, 보안 비용","IoT 플랫폼의 성숙도에 따라 비즈니스 및 산업용 IoT 시장에 미치는 영향이 다르며, 소비자 시장에 비해 요구 사항이 높은 비즈니스 및 산업용 IoT 시장에서 플랫폼 성숙도가 중요하다고 제시함. 또한 IoT 플랫폼 제공 업체는 기술을 사용하는 이해 관계자와 긴밀한 파트너십을 포함하는 IoT 생태계를 구축해야 함을 강조함.",N,N,"본 논문은 IoT 플랫폼 시장의 다양성과 미성숙함으로 인해 IoT 플랫폼 공급 업체가 성공적으로 적용할 수 있는 비즈니스 모델을 명확하게 식별하기 어렵다고 지적합니다. 또한 IoT 플랫폼의 성장이 센서/액추에이터 발전, 마이크로컨트롤러 가격/성능 비율, 무선 연결 비용, 엣지 컴퓨팅 개발, 클라우드 기반 소프트웨어 인프라 및 애플리케이션 구현/배포와 같은 요인에 의해 영향을 받는다고 설명합니다.",해당 항목 없음
해당 항목 없음,"본 논문은 인공지능(AI) 기술이 교육 분야에 미치는 영향, 특히 기업가 정신 교육에서 ChatGPT와 같은 챗봇이 학생들의 기업가적 역량에 미치는 영향을 탐구합니다. 연구 결과 ChatGPT가 학생들의 기회 포착, 창의성, 비전, 아이디어 가치 평가, 윤리적 및 지속 가능한 사고 능력을 향상시키는 데 도움이 될 수 있음을 시사하며, 특히 아이디어 가치 평가 능력 향상에 효과적임을 보여줍니다. 본 연구는 ChatGPT를 활용한 경험적 학습 방법이 학생들의 기업가적 역량을 강화하고 학습 성과를 향상시키는 데 기여할 수 있음을 강조합니다.","논문에서 주로 다루는 AI는 Generative AI (GenAI)이며, 특히 ChatGPT는 다음과 같은 특징을 가집니다.
- 대량의 데이터를 기반으로 패턴, 구조, 특징을 학습하여 새로운 콘텐츠 생성 (텍스트, 이미지, 음악 등).
- 자연어 처리 능력을 통해 인간의 글쓰기를 모방하는 텍스트 생성.
- 복잡한 질문에 답변, 다양한 주제에 대한 콘텐츠 생성, 정보 요약, 수학 문제 해결, 데이터 분석 및 인사이트 제공 등 다양한 작업 수행.","이 연구의 주요 대상은 기업가 정신 관련 과목을 수강하는 학부생입니다. 이들은 ChatGPT를 활용하여 비즈니스 모델 캔버스(BMC)를 개선하고, 이를 통해 기업가적 역량 강화에 도움을 받을 수 있습니다.","ChatGPT는 학생들에게 다음과 같은 가치를 제공합니다.
- 기회 포착 능력 향상: 시장 트렌드 분석 및 새로운 사업 기회 발견 지원.
- 창의성 증진: 새로운 아이디어 생성 및 기존 아이디어 결합 지원.
- 비전 제시 능력 강화: 미래 비즈니스 모델 구상 및 전략 개발 지원.
- 아이디어 가치 평가 능력 향상: 사업 아이디어의 잠재적 가치 판단 지원.
- 윤리적 및 지속 가능한 사고 능력 함양: 사회적 책임 및 지속 가능성을 고려한 비즈니스 모델 개발 지원.","본 연구에서는 ChatGPT가 강의 활동의 일부로 활용됩니다. 강사는 ChatGPT 사용법을 안내하고, 학생들은 이를 통해 비즈니스 모델 캔버스를 개선합니다. 또한 설문 조사를 통해 ChatGPT 사용 경험에 대한 피드백을 수집합니다.","강사는 학생들에게 ChatGPT의 사용법, 장점, 단점을 설명하고, 학생들이 자발적으로 ChatGPT 사용 여부를 결정하도록 합니다. 이는 ChatGPT의 잠재적인 단점을 해결하고 학생들이 정보에 입각한 결정을 내릴 수 있도록 하기 위함입니다.","본 논문에서는 ChatGPT 사용으로 인한 직접적인 수익 흐름은 언급되지 않았습니다. 하지만 연구에 따르면 ChatGPT 활용은 학생들의 기업가적 역량 개발에 기여하며, 이는 장기적으로 학생들의 취업률 증가 및 창업 성공률 증가로 이어질 수 있습니다.","본 연구의 핵심 자원은 다음과 같습니다.
- ChatGPT: 기업가 정신 교육을 위한 AI 기반 챗봇 도구.
- 비즈니스 모델 캔버스(BMC): 기업가 정신 교육에서 널리 사용되는 프레임워크.
- 설문 조사 데이터: 학생들의 ChatGPT 사용 경험 및 역량 변화에 대한 데이터.","본 연구의 핵심 활동은 다음과 같습니다.
- ChatGPT를 활용한 비즈니스 모델 캔버스(BMC) 개선 활동.
- 학생들의 기업가적 역량 변화 측정 및 분석.
- ChatGPT 사용 경험에 대한 정성적 데이터 분석.","본 논문에서는 구체적인 파트너십이 명시적으로 언급되지는 않았습니다. 다만, 연구진은 ChatGPT 개발사인 OpenAI 또는 유사한 AI 기술 기업과 협력하여 연구를 진행했을 가능성이 있습니다.","본 연구와 관련된 주요 비용 항목은 다음과 같습니다.
- ChatGPT 사용료 (OpenAI API 사용료 등).
- 연구진 인건비.
- 설문 조사 및 데이터 분석 비용.",본 논문에서는 전통적인 비즈니스 모델 캔버스 분석 외에 ChatGPT와 같은 GenAI 도구가 학생들의 기업가적 역량 개발에 미치는 영향이라는 새로운 분석 관점을 제시합니다. 이는 기존의 분석 틀로는 설명하기 어려운 AI 기반 교육의 특성을 강조하기 위함입니다.,N,Y,"본 연구는 소규모 표본, 학생들의 자발적인 참여, 단일 대학에 대한 연구 제한 등의 한계점을 가지고 있습니다. 향후 연구에서는 더 넓은 범위의 표본과 다양한 기관을 대상으로 연구를 진행하여 이러한 제한점을 극복해야 합니다. 또한 성별 차이에 대한 연구를 심화하여 기업가 정신 교육 프로그램 설계에 기여할 수 있습니다.",해당 항목 없음
해당 항목 없음,"본 논문은 사용자 주도 혁신과 개방형 혁신에 대한 최근의 관심이 새로운 제품이나 서비스 자체를 넘어 비즈니스 모델 자체로 확장되고 있음을 지적한다. 특히 인터넷 상거래의 발전과 함께 비즈니스 모델링 과정에 참여 디자인 방법을 적용하여 더 넓은 범위의 이해관계자를 참여시키는 것을 탐구하며, 전통적인 제조 기업과 공공 기관이 새로운 비즈니스 모델을 고려해야 하는 압력을 받고 있음을 강조한다. 또한 비즈니스 모델 논의에 비즈니스 교육을 받지 않은 사람들의 참여를 유도하기 위해 디자이너의 역할과 참여적 디자인의 가능성을 모색하는 워크숍을 소개한다.",정보 없음,"연구자, 실무자, 교육자로서 참여 디자인 프로젝트에서 비즈니스 문제를 다루었거나, 참여적인 비즈니스 혁신 기술을 직접 실험했거나, 참여 디자인의 입장에 대한 의견을 가진 사람들","참여 디자인을 통해 비즈니스 모델 혁신을 촉진하고, 다양한 이해관계자들이 비즈니스 모델 개발에 참여할 수 있도록 지원한다. 또한, 비즈니스 모델 논의에 참여하기 어려운 사람들의 참여를 유도하고, 참여 디자인의 역할을 재고한다.","워크숍, 실무 데모, 참여자 경험 공유","참여적인 워크숍을 통해 참가자들 간의 협력적인 관계를 형성하고, 비즈니스 모델 혁신에 대한 다양한 관점을 공유하도록 장려한다.",정보 없음,"참여 디자인 방법론, 비즈니스 모델링 기술, 워크숍 참가자들의 경험과 지식","워크숍 진행, 참여 디자인 방법론 시연, 참가자 경험 공유, 비즈니스 모델 혁신에 대한 토론 촉진",정보 없음,워크숍 운영 비용,"이 논문은 참여 디자인이 상업적 제품 개발의 비즈니스 측면과 어떻게 융합될 수 있는지에 대한 철학적 질문을 제기하며, 참여 디자인의 역할에 대한 심층적인 논의를 촉구한다.",N,Y,"논문은 Osterwalder의 비즈니스 모델 캔버스가 다양한 이해관계자의 참여를 유도하는 데 중요한 역할을 한다고 언급하며, 참여 디자인과 비즈니스 모델 혁신의 융합 가능성을 탐색하는 데 초점을 맞추고 있다.",해당 항목 없음
