논문 제목,핵심 내용,AI의 특징,고객 세그먼트,가치 제안,채널,고객 관계,수익 흐름,핵심 자원,핵심 활동,핵심 파트너십,비용 구조,추가영역 제시,비즈니스 캔버스 모델의 틀을 바꿔 새로운 비즈니스 캔버스 모델을 제시,기타,오류
Fundamental Concepts of Building a Marketing-Oriented Business Model of Retail Structures' Innovative Development.pdf,"This paper discusses the innovative development of retail structures (RS) by systematizing relevant business models and proposing promising directions for their transformation. The core idea is to change the logic of value creation or appropriation by modifying marketing activities, methods for income appropriation, and RS management mechanisms, ultimately leading to competitive advantage and maximizing customer satisfaction.","The document highlights AI's role in analyzing data, optimizing retail operations (e.g., supply chain), and enhancing customer experiences. The document emphasizes leveraging AI to enhance decision-making and adapt to changing market conditions. AI facilitates automation of marketing activities and processes.","The primary customer segments appear to be retail structures and manufacturers looking to innovate their business models. While not explicitly stated, the paper implies a B2B focus, targeting companies in the retail sector.","The AI solution (implied, not explicitly an AI product) offers increased efficiency, better customer insights, improved competitiveness, and enhanced adaptability to market changes. The key value proposition is enabling retailers to innovate their business models effectively.","The channels are not explicitly detailed, but implicitly involve consulting, partnerships, and potentially software/platform offerings that enable AI-driven retail solutions. Research and publications could also serve as channels.",The document highlights customer relationships being strengthened through direct interactions and the optimization of that relationship using AI. The paper suggests a focus on building and maintaining long-term customer relationships through improved customer interface and optimized interactions.,"The document does not explicitly discuss revenue streams. However, it could be inferred to include consulting fees, software licensing, or subscription-based access to AI-powered retail solutions. It implicitly includes revenue generated through increased sales and efficiency by implementing the proposed innovative developments, as consulting, licensing, or subscription revenue.","Key resources include marketing knowledge, data analytics capabilities, IT infrastructure, and potentially proprietary algorithms for retail optimization. Also, the expertise of researchers and marketing specialists is implied.","Core activities include R&D in retail innovation, data analysis, algorithm development, and providing consulting services to retail companies. Product development and marketing of the AI-driven solutions are also implied.","Likely partners include data providers, technology vendors (e.g., AI platform providers), and possibly research institutions or universities. Manufacturers are also mentioned as entities with whom relationships must be managed.","Major costs likely include R&D expenses, IT infrastructure costs, data acquisition costs, and personnel costs for data scientists, marketing specialists, and consultants. It also includes marketing and sales expenses.","The paper emphasizes the importance of the ""marketing orientation"" of the business model, which involves understanding and responding to customer needs and market conditions through the generation and dissemination of market knowledge within a company. This could be considered an additional area of emphasis.",N,"The paper focuses on the innovative development of retail structures through marketing-oriented business models, emphasizing the importance of adapting to changing market conditions and maximizing customer satisfaction. AI is implied as enabler in the retail sector.",
Hypotheses engineering first essential steps of experiment-driven software development.pdf,"이 논문은 실험 기반 소프트웨어 개발을 위한 가설 엔지니어링이라는 새로운 분야를 제안하며, 이는 전통적인 요구사항 엔지니어링과 비교하여 실험을 안내하는 가설을 적절히 다루는 중요성을 강조합니다. 또한, 가설 엔지니어링 내에서 일련의 실행 방법을 도출하고 현재까지 문헌에서 이러한 방법이 어떻게 다루어졌는지 제시하며, 실무자를 돕기 위한 미래 연구를 안내할 수 있는 일련의 연구 질문을 제안합니다.","이 논문에서는 AI가 기존의 데이터와 사용자 피드백을 기반으로 스스로 학습하고 작동하는 특징을 가진다고 설명합니다. 특히, AI 기술을 활용하여 사용자 인터페이스를 최적화하거나 비즈니스 모델의 특정 지표를 개선하는 데 적용될 수 있음을 시사합니다.","논문에서 명시적으로 AI 솔루션의 특정 고객 세그먼트를 구분하고 있지는 않습니다. 하지만, 실험 기반 소프트웨어 개발 방법론을 통해 고객의 요구사항을 충족시키는 특징을 강조하므로, AI 솔루션 개발에 참여하는 개발팀, 제품 관리팀, 스타트업, 또는 기존 기업 내의 혁신팀 등이 고객 세그먼트가 될 수 있습니다.","실험 기반 소프트웨어 개발을 통해 사용자가 실제로 원하는 기능을 개발하고, 이를 통해 고객 만족도를 높이며, 결과적으로 제품의 가치를 창출하는 것을 가치 제안으로 제시합니다. 또한, AI를 활용하여 개발 프로세스를 자동화하고, 데이터 기반의 의사 결정을 통해 개발 효율성을 개선하는 것을 가치 제안으로 볼 수 있습니다.","논문에서는 AI 솔루션이 고객에게 도달하는 구체적인 채널을 명시하고 있지는 않습니다. 다만, 실험 결과를 공유하고 피드백을 수집하는 과정에서 사용자 인터뷰, A/B 테스트, 프로토타입 시연 등 다양한 채널이 활용될 수 있음을 암시합니다.","논문에서 AI 기업이 고객과 구축하는 관계 유형에 대한 명확한 설명은 없습니다. 그러나 실험 기반 개발 방법론을 통해 지속적인 피드백을 수집하고 반영하는 것을 강조하므로, 긴밀한 협력 관계를 구축하는 것이 중요하다고 볼 수 있습니다.","논문에서 AI 기업의 구체적인 수익 흐름을 언급하고 있지는 않습니다. 하지만, AI 솔루션을 통해 고객에게 가치를 제공하고, 이를 통해 사용료, 구독료, 라이선스 판매 등의 다양한 수익 모델을 구축할 수 있음을 추론할 수 있습니다.","AI 비즈니스 모델 운영에 필요한 핵심 자원으로 데이터, AI 알고리즘, 숙련된 개발 인력, 실험 인프라(A/B 테스트 도구, 사용자 분석 도구 등) 등을 들 수 있습니다. 특히, 실험을 통해 얻은 데이터와 학습 결과는 AI 모델의 성능을 개선하고 새로운 가치를 창출하는 데 중요한 역할을 합니다.","AI 비즈니스 모델 운영을 위한 핵심 활동으로 AI 모델 개발 및 개선, 데이터 수집 및 관리, 실험 설계 및 실행, 결과 분석, 사용자 피드백 수집, 제품 개발 및 개선 등을 들 수 있습니다.","AI 비즈니스 모델 운영을 위한 핵심 파트너십으로 데이터 제공 기업, AI 기술 제공 기업, 클라우드 서비스 제공 기업, 연구 기관, 투자자 등을 들 수 있습니다. 특히, 데이터와 AI 기술은 AI 모델 개발에 필수적인 요소이므로, 관련 기업과의 협력이 중요합니다.","AI 비즈니스 모델 운영에 발생하는 주요 비용 항목으로 인건비(AI 개발자, 데이터 과학자, 제품 관리자 등), R&D 비용, 데이터 수집 및 관리 비용, IT 인프라 비용, 마케팅 비용 등이 있습니다.","논문에서는 기존 비즈니스 모델 캔버스의 9가지 영역 외에 추가적인 영역을 명시적으로 제시하지는 않습니다. 하지만, AI 비즈니스 모델의 특성상 '데이터'와 '학습'이라는 요소를 강조할 필요가 있습니다. 데이터는 AI 모델의 학습에 필수적인 자원이며, 학습은 AI 모델의 성능을 개선하고 새로운 가치를 창출하는 핵심 활동이기 때문입니다.",N,"이 논문은 실험 기반 소프트웨어 개발 방법론의 중요성을 강조하고 있으며, AI 분야에도 적용될 수 있는 시사점을 제공합니다. 특히, AI 모델 개발 과정에서 실험을 통해 가설을 검증하고, 데이터 기반으로 의사 결정을 내리는 것이 중요함을 강조합니다.",
IDSS-BM Intelligent Decision Support System for Business Models.pdf,"이 논문에서는 지능형 의사결정 지원 시스템(IDSS-BM) 개발을 목표로 한다. 이 시스템은 관리자가 비즈니스 모델 디자인 결정을 내릴 때 설명을 제공하여 제안된 솔루션에 대한 신뢰도를 높이고, 과거 사례를 기반으로 새로운 문제에 대한 해결책을 생성하는 Case-Based Reasoning(CBR)을 사용한다.","Case-Based Reasoning(CBR)을 사용하여 과거 사례를 분석하고 새로운 문제에 대한 해결책을 생성하며, 지능형 시스템이 제안하는 결론에 대한 근거를 제공하여 사용자의 신뢰도를 높인다.","도메인 전문가, 초보 관리자, 학생","비즈니스 모델 디자인에 대한 의사결정 지원, 제안된 솔루션에 대한 설명 제공, 과거 사례를 기반으로 한 학습 및 문제 해결",정보 없음,자동화된 시스템을 통한 지원 및 설명 제공,정보 없음,"AI 알고리즘(Case-Based Reasoning), 과거 사례 데이터베이스, 비즈니스 모델 온톨로지","Case-Based Reasoning을 사용한 의사결정 지원 시스템 개발, 비즈니스 모델 온톨로지 구축, 과거 사례 데이터베이스 관리",정보 없음,"R&D 비용, 시스템 개발 및 유지보수 비용",기존 비즈니스 모델 캔버스에 '설명(Explanation)' 영역을 추가하여 AI 시스템의 의사결정 과정에 대한 투명성을 제공하고 사용자의 신뢰를 높이는 것을 강조한다.,N,"제시된 IDSS-BM 시스템은 CBR을 통해 전문가의 지식을 관리하고 유지하며, 의사결정 과정에 대한 설명을 제공함으로써 사용자의 이해와 신뢰를 높이는 데 중점을 둔다.",
IoT Big Data Value Map How to Generate Value from IoT Data.pdf,"This paper presents a framework called ""IoT Big Data Value Map"" that guides the process of transforming raw data from IoT devices into real-world business value. It leverages the integration of IoT, Data Mining, and Value Proposition Map to enable business model prototyping based on value invention from data analysis.","The AI solutions discussed leverage Machine Learning (ML) and Data Mining (DM) techniques to automatically learn and improve from data, enabling the extraction of hidden knowledge and patterns.","The study focuses on various industries and domains, including knowledge management, agriculture, food industries, energy management, urban management, health, and medical sciences.","The value propositions include improving efficiency, reducing risks (e.g., food safety), optimizing processes, and creating new knowledge. The overall goal is to deliver real-world value to customers by resolving problems.","The paper does not explicitly specify channels but implies that the value proposition would reach the customers through the specific applications in the studied industries. (e.g., energy data management system for end users)","The paper does not directly address customer relationships, but the AI-driven solutions provide value through automated and data-driven insights.","The paper does not explicitly address revenue streams, but they could include subscription models, licensing fees, or value-based pricing, driven by generated insights.","Key resources include IoT devices, big data, Data Mining techniques, AI algorithms, domain expertise, and the Value Proposition Map framework itself.","Key activities include data collection, data preprocessing, model learning, testing and validation, knowledge acquisition, and implementation of the value proposition.","The paper does not specifically mention partnerships, but potential partners include IoT device manufacturers, data providers, AI experts, and industry-specific stakeholders.","The cost structure includes R&D, data acquisition, IT infrastructure, algorithm development, and potentially consulting fees for domain expertise.","The paper introduces a three-pillar structure (IoT, Data Mining, and Value Proposition Map) to specifically address how value is generated from IoT data.",N,"The paper emphasizes a systematic approach to extracting and presenting the business value of IoT data analysis, demonstrating how various IoT applications in different industries can be mapped to specific gains and pain relievers for customers.",
Issues concerning IoT adoption for energy and comfort management in intelligent buildings in India.pdf,"이 논문은 인도의 지능형 건물에서 에너지 및 쾌적성 관리를 위한 IoT 채택과 관련된 주요 문제를 식별하기 위해 델파이 방법을 사용합니다. 가치 사슬 전반에 걸쳐 이러한 문제를 조사하고 'IoT 채택 지수' 개발로 이어집니다. 이 연구는 이해 관계자가 프로젝트 배포를 위해 IoT 시스템을 평가하는 데 실질적으로 사용될 수 있으며, 유사한 기후 조건을 가진 다른 신흥 경제국에서도 유용합니다.","이 논문에서는 AI가 직접적으로 언급되지는 않지만, IoT 기반 건물 관리 시스템이 인공 지능 기반 데이터 처리를 포함한다고 설명되어 있습니다. 이는 AI가 사용자 중심의 에너지 및 쾌적성 관리 솔루션을 제공하는 데 사용될 수 있음을 시사합니다.","이 논문은 주로 상업용 건물을 대상으로 하며, 지능형 건물의 가치 사슬에 관련된 모든 이해 관계자(건물 소유주, 건축가, 건설 제품 제조업체, 시설 관리자, IoT/AI 솔루션 설계자 등)를 고객 세그먼트로 포함합니다.","IoT 기반 건물 관리 시스템은 에너지 효율성 향상, 사용자 쾌적성 증진, 운영 비용 절감 등의 가치를 제공합니다. 특히, 사용자 중심의 지역화된 에너지 및 쾌적성 관리 솔루션을 통해 건물 거주자의 요구에 맞는 맞춤형 환경을 제공할 수 있습니다.","이 논문에서는 특정 채널을 명시적으로 언급하지 않지만, IoT 솔루션 공급업체, 시스템 통합업체, 컨설턴트 등을 통해 고객에게 도달할 수 있음을 암시합니다. 또한, 업계 컨퍼런스나 워크숍 등도 잠재적인 채널로 활용될 수 있습니다.","자동화된 서비스, 원격 액세스 및 제어, 사용자 모바일 장치를 통한 데이터 수집 등을 통해 고객과 관계를 구축합니다. 또한, 개인화된 쾌적성 설정 및 사용자 피드백을 통해 고객 만족도를 높이는 데 중점을 둡니다.","이 논문에서는 명확한 수익 흐름 모델을 제시하지 않지만, IoT 솔루션 라이선싱, 유지 보수 계약, 에너지 절감 효과에 따른 인센티브 등이 잠재적인 수익원으로 간주될 수 있습니다.","IoT 센서, 네트워크 인프라, AI 기반 데이터 처리 알고리즘, 지능형 건물 관련 데이터, 숙련된 인력(전문가 패널, 엔지니어 등) 등이 핵심 자원입니다.","IoT 시스템 개발 및 유지 관리, 데이터 분석 및 시각화, 고객 맞춤형 솔루션 제공, 에너지 효율성 및 사용자 쾌적성 개선을 위한 연구 개발 등이 핵심 활동입니다.","건물 소유주, 건축가, 건설 회사, 시설 관리 회사, IoT 솔루션 제공업체, 정부 기관(에너지 효율성 관련 정책 지원), 연구 기관(기술 개발 협력) 등이 핵심 파트너입니다.","IoT 시스템 구축 및 유지 관리 비용, 인건비(전문가 패널, 엔지니어), R&D 비용, 데이터 센터 운영 비용, 마케팅 비용 등이 주요 비용 항목입니다.","이 논문에서는 기존 비즈니스 모델 캔버스의 9가지 영역 외에 추가적인 영역을 명시적으로 제시하지는 않았지만, 인도 시장의 특성(예: 문화적 요인, 기후 조건)을 고려한 비즈니스 모델의 중요성을 강조합니다.",N,"이 논문은 인도의 지능형 건물 시장에서 IoT 기술 채택에 영향을 미치는 요인들을 분석하고, 이를 바탕으로 'IoT 채택 지수'라는 새로운 지표를 개발했다는 점에서 의의가 있습니다. 또한, 델파이 방법을 활용하여 다양한 분야의 전문가들의 의견을 수렴하고, 이를 정량적으로 분석했다는 점도 주목할 만합니다.",
Lessons Learned from Developing a Sustainability Awareness Framework for Software Engineering Using Design Science.pdf,"본 논문은 소프트웨어 엔지니어링에서 지속 가능성 인식 프레임워크(SusAF)를 개발하고 평가하는 과정에서 얻은 교훈을 설명합니다. SusAF는 IT 제품 및 서비스의 잠재적인 지속 가능성 영향을 예상하고 완화하는 데 소프트웨어 엔지니어를 지원하며, 디자인 과학 연구 방법을 사용하여 개발되었습니다. 논문은 SusAF 개발의 13개 디자인 사이클과 관련된 도전 과제, 배운 교훈, 그리고 소프트웨어 엔지니어링 연구, 교육 및 실무에 대한 시사점을 제시합니다.",이 논문에서 설명하는 SusAF 프레임워크는 특정 AI 기술 자체보다는 IT 제품 및 서비스가 지속 가능성에 미치는 영향을 분석하고 개선하는 데 중점을 두고 있습니다.,"SusAF 프레임워크는 IT 실무자(소프트웨어 엔지니어, 소프트웨어 아키텍트 등)와 학계(학생 및 연구원)를 주요 고객 세그먼트로 합니다.","SusAF는 IT 제품 및 서비스의 잠재적인 단기, 중기 및 장기 지속 가능성 영향을 식별하고 이해하는 데 도움이 되는 시스템적 접근 방식을 제공합니다. 이를 통해 IT 제품 및 서비스 소유자 회사는 IT 제품/서비스 개발 및 진화 방향을 결정할 수 있습니다.","SusAF의 가치는 강의실 수업, 워크숍, 산업 협업 등을 통해 전달됩니다. 논문에서는 웹사이트, 소셜 네트워크, 컨퍼런스 등의 특정 채널을 명시적으로 언급하지 않습니다.","SusAF는 교육 및 산업 워크숍을 통해 고객과 관계를 구축하며, 자동화된 서비스나 셀프 서비스 모델은 아닙니다.","논문에서는 SusAF 자체의 수익 흐름을 구체적으로 언급하지 않습니다. SusAF는 주로 연구 및 교육 목적으로 사용되며, IT 제품 및 서비스 개발의 지속 가능성을 향상시키는 데 기여합니다.","SusAF 비즈니스 모델의 핵심 자원은 지속 가능성 인식 프레임워크(SusAF) 자체, 관련 질문 세트, 사용 지침, 워크북 및 사례 연구입니다. 또한, 디자인 과학 연구 방법론과 관련된 지식과 전문성이 필요합니다.","SusAF 비즈니스 모델의 핵심 활동은 프레임워크 개발, 사용자 평가, 반복적인 개선, 교육 및 산업 워크숍 운영, 지속 가능성 영향 분석 및 보고서 작성입니다.","SusAF 비즈니스 모델의 핵심 파트너는 산업 파트너(Partneur, Visma, Datamatrix 등), 학계 파트너(LUT, CSULB, HFU 등), 지속 가능성 전문가 및 연구 자금 지원 기관입니다.","SusAF 비즈니스 모델의 주요 비용 항목은 인건비(연구원, 강사), R&D 비용, 워크숍 운영 비용, 데이터 수집 및 분석 비용입니다.","논문에서는 기존 비즈니스 모델 캔버스 외에 추가적인 영역을 명시적으로 제시하지는 않았습니다. 그러나 지속 가능성이라는 주제의 특성상, 가치 제안, 고객 관계, 비용 구조 등 기존 영역에서 지속 가능성 측면을 강조하는 것이 중요합니다.",N,"SusAF 개발 과정에서 얻은 교훈은 소프트웨어 엔지니어링 연구, 교육 및 실무에 대한 시사점을 제공합니다. 논문은 지속 가능성 도구 개발의 복잡성, 도구 사용의 효율성, 디자인 과학 연구 방법론의 한계 등 다양한 측면을 논의합니다.",
Metaverse Perspectives from Japan A Participatory Speculative Design Case Study.pdf,"본 연구는 일본 시민들의 관점에서 미래 메타버스 사회에 대한 다양한 시각과 사회적, 윤리적 함의를 탐구하기 위해 참여적 추론 디자인(PSD) 접근 방식을 활용합니다. 워크숍 프레임워크와 참여자 프로세스를 제시함으로써 PSD가 메타버스와 같은 신기술에 대한 중요한 담론에 시민들을 참여시키는 데 효과적임을 입증하고, 가상 환경의 문화적으로 민감한 설계 및 개발에 대한 통찰력을 제공하는 참여자 관점의 주요 주제를 식별합니다.","AI는 휴먼-AI 관계, 기술적 솔루션, 정치 및 기술, 세계화 및 지역 문화, 몰입 기술에 대한 중요한 질문을 제기하는 미래 메타버스 사회에서 중요한 역할을 합니다. AI 에이전트가 인간의 작업을 수행하고, 사회적 역할을 수행하며, 사회적 관계를 구축하는 것이 특징입니다.","B2C (일반 시민): 이 연구는 메타버스 기술 및 미래 사회에 대한 일반 시민의 인식을 조사합니다. 
정부 기관: 재해 예방, 정치 참여 등 사회 문제 해결에 메타버스가 어떻게 기여할 수 있는지 탐구합니다.","이 연구에서는 일본 시민들이 생각하는 미래 사회 문제 해결에 메타버스가 기여할 수 있는 잠재력을 제시합니다. 또한 재해 예방, 정치 참여, 사회적 상호작용 등 다양한 영역에서 메타버스의 가치를 탐색합니다.","워크숍, 컨퍼런스, 연구 발표, 온라인 토론 포럼.","워크숍 참여를 통해 시민들의 의견을 수렴하고, 기술 개발자와 정책 결정자에게 정보를 제공합니다. 또한, 온라인 커뮤니티와 소셜 미디어를 통해 지속적인 대화와 참여를 유도합니다.",이 연구는 학술 연구 프로젝트이므로 직접적인 수익 흐름은 없습니다. 하지만 연구 결과는 메타버스 관련 기업의 사회적 책임(CSR) 활동이나 정부 지원금 확보에 활용될 수 있습니다.,"참여자들의 창의적인 아이디어와 미래에 대한 비전, 워크숍에서 수집된 데이터 및 분석 결과, 메타버스 기술 및 사회에 대한 전문 지식.","PSD 워크숍 운영, 데이터 분석, 미래 시나리오 개발, 연구 결과 발표 및 공유.","AI 연구 기관, 정부 기관, 기술 기업, 시민 단체.","워크숍 운영 비용, 데이터 분석 비용, 연구 인력 인건비, 연구 결과 발표 및 홍보 비용.","기존의 비즈니스 모델 캔버스 외에 '사회적 영향(Social Impact)' 영역을 추가하여, 메타버스 기술이 사회에 미치는 긍정적/부정적 영향을 분석하고 논의합니다.",N,"참여자들은 AI 권리, 법적 및 도덕적 책임, 정체성 및 자율성, 소외, 기술 의존성, 과제 과부하, 신기술에 대한 인간 통제와 관련된 미래 사회의 문제를 식별했습니다.",
Models for Innovative IoT Ecosystems.pdf,"본 논문은 사물 인터넷(IoT)의 진화에 대한 배경을 제시하고, 수직적 및 수평적 IoT 비즈니스 모델의 두 가지 클래스를 논의하며, Intel, Amazon, Google, Microsoft, IBM 등과 같은 회사의 수평적 통합 접근 방식을 검토합니다. 결론적으로, 비즈니스 모델 개발을 간략하게 설명하고 수평적 통합이 미래에 가장 발전할 가능성이 높다고 지적합니다.",정보 없음,"B2B (IoT 플랫폼 제공업체, 개발자, 서비스 제공업체)","IoT 장치 연결, 데이터 수집, 보안, 상호 운용성, 확장성, 관리 용이성, 데이터 분석, 애플리케이션 개발 지원","클라우드 플랫폼, 웹사이트, 개발자 커뮤니티","파트너십, 개발자 지원, 컨설팅, 시스템 통합","SaaS 구독료, 사용량 기반 요금, 라이선싱, 컨설팅, 시스템 통합","IoT 플랫폼 (소프트웨어, 하드웨어), 데이터 센터, 개발자 네트워크, 파트너 네트워크","플랫폼 개발 및 유지보수, 데이터 관리, 보안 관리, 파트너십 관리, 마케팅","IoT 장치 제조업체, 통신 사업자, 시스템 통합 업체, 애플리케이션 개발자","R&D 비용, IT 인프라 비용, 인건비, 마케팅 비용",정보 없음,N,"IoT 플랫폼은 디지털 가치 사슬에서 서비스 콘텐츠가 증가함에 따라 비즈니스 모델 매개변수가 달라집니다. 가치 제안, 수익 메커니즘, 가치 사슬, 목표 시장, 가치 네트워크, 경쟁 전략과 같은 요소가 IoT 비즈니스 모델에서 네트워크 중심적 관점으로 추가됩니다.",
Navigating the new frontier the impact of artificial intelligence on students' entrepreneurial competencies.pdf,"이 논문은 생성적 AI(GenAI), 특히 ChatGPT가 기업가 정신 교육에서 학생들의 기업가적 역량에 미치는 영향을 탐구합니다. 비즈니스 모델 캔버스(BMC) 개선에 ChatGPT를 활용한 학부생을 대상으로 탐색적 연구를 수행하여, ChatGPT가 기회 포착, 창의성, 비전, 아이디어 가치 평가, 윤리적 및 지속 가능한 사고와 같은 역량 강화에 기여할 수 있음을 밝혔습니다.","ChatGPT는 자연어 처리 능력을 기반으로 다양한 질문에 답변하고, 콘텐츠를 생성하며, 정보를 요약하고, 수학 문제를 해결하는 등 다양한 작업을 수행할 수 있습니다. 또한 대량의 데이터를 분석하여 패턴과 트렌드를 식별하고 시장 기회를 발견하는 데 도움을 줄 수 있습니다.",이 연구에서는 기업가 정신 교육을 받는 학부생을 주요 고객 세그먼트로 보고 있습니다. 이들은 ChatGPT를 활용하여 비즈니스 모델 캔버스를 개선하고 기업가적 역량을 강화하는 데 도움을 받을 수 있습니다.,"ChatGPT는 학생들에게 다음과 같은 가치를 제공합니다:
- 기회 포착 능력 향상
- 창의성 및 비전 강화
- 아이디어 가치 평가 능력 향상
- 윤리적 및 지속 가능한 사고 촉진
- 비즈니스 모델 캔버스 개선 지원
- 시장 조사 및 경쟁 분석 지원","이 논문에서는 ChatGPT가 교실 내 활동을 통해 학생들에게 제공되는 방식을 주로 다루고 있습니다. 구체적인 채널에 대한 직접적인 언급은 없지만, 대학 강의, 워크숍, 온라인 교육 플랫폼 등이 잠재적인 채널이 될 수 있습니다.","이 논문에서는 ChatGPT를 활용한 기업이 고객(학생)과 구축하는 관계 유형에 대해 구체적으로 언급하지 않습니다. 다만, ChatGPT는 자동화된 서비스 및 셀프 서비스 도구로 볼 수 있으며, 강사와 학생 간의 상호 작용을 보완하는 역할을 합니다.","이 논문은 교육 맥락에서의 ChatGPT 활용을 다루고 있으므로, ChatGPT 자체의 수익 흐름보다는 교육 기관이 ChatGPT와 같은 AI 도구를 활용함으로써 얻을 수 있는 간접적인 이점(예: 학생 만족도 향상, 교육 프로그램의 질 개선 등)에 초점을 맞추고 있습니다.","ChatGPT 비즈니스 모델 운영에 필요한 핵심 자원은 다음과 같습니다:
- ChatGPT 알고리즘 및 플랫폼
- 대규모 데이터셋
- 숙련된 AI 개발자 및 엔지니어","ChatGPT 비즈니스 모델 운영을 위한 핵심 활동은 다음과 같습니다:
- AI 알고리즘 개발 및 개선
- 데이터 수집 및 관리
- 사용자 인터페이스 개발
- 기술 지원 및 유지보수","ChatGPT 비즈니스 모델 운영을 위한 주요 파트너는 다음과 같습니다:
- OpenAI (ChatGPT 개발사)
- 대학 및 연구 기관
- 교육 기관 및 강사
- 기술 제공 업체","ChatGPT 비즈니스 모델 운영에 발생하는 주요 비용 항목은 다음과 같습니다:
- AI 알고리즘 개발 및 유지보수 비용
- 데이터 수집 및 관리 비용
- IT 인프라 비용
- 인건비 (AI 개발자, 엔지니어 등)","기존 비즈니스 모델 캔버스의 9가지 영역 외에 AI 비즈니스 모델의 특징을 설명하기 위해 추가적으로 제시하거나 강조한 영역은 없습니다. 다만, 이 논문에서는 기업가적 역량(Entrepreneurial Competencies)이라는 개념을 도입하여 AI 도구가 학생들의 역량 개발에 미치는 영향을 분석하고 있습니다.",N,"이 논문은 ChatGPT가 기업가 정신 교육에서 학생들의 특정 역량(기회 포착, 창의성, 비전 등)에 미치는 영향을 실증적으로 분석한 연구라는 점에서 의의가 있습니다. 또한, 비즈니스 모델 캔버스와 AI 도구의 연관성을 탐구함으로써 새로운 교육 방법론에 대한 시사점을 제공합니다.",
Participatory design of business models.pdf,"이 논문은 사용자 중심 혁신과 개방형 혁신에 대한 최근의 관심이 새로운 제품 또는 서비스 자체를 넘어 비즈니스 모델에 대한 고민으로 확장되었음을 지적합니다. 특히 인터넷 상거래의 발전과 함께 비즈니스 모델링 과정에 다양한 참여자를 참여시키는 참여 디자인 방법의 적용 사례를 소개하며, 참여 디자인이 비즈니스 모델 혁신에 기여할 수 있는 가능성을 탐색합니다.",정보 없음,"연구자, 실무자, 교육자 (참여 디자인 프로젝트에서 비즈니스 문제를 다루거나 참여적 비즈니스 혁신 기술을 실험했거나 참여 디자인의 입장에 대한 의견을 가진 사람)","참여 디자인이 비즈니스 모델 혁신에 기여할 수 있는지에 대한 논의를 촉진하고, 참여적 비즈니스 혁신 기술을 공유하며, 참여 디자인의 역할에 대한 다양한 관점을 제시합니다.","워크샵, 학술 논문 발표","참여적 관계, 협력적 관계",정보 없음,"참여 디자인 방법론, 비즈니스 모델링 도구, 참여자들의 경험과 지식","참여 디자인 워크샵 진행, 비즈니스 모델링 방법론 시연, 참여자들의 경험 공유 촉진, 토론 및 아이디어 교환 유도","대학, 연구 기관, 참여 디자인 커뮤니티","워크샵 운영 비용, 연구 개발 비용",정보 없음,N,"이 논문은 참여 디자인(Participatory Design, PD)이 비즈니스 모델 혁신에 어떻게 기여할 수 있는지에 대한 논의를 촉진하는 것을 목표로 하며, 실제 사례와 방법론을 통해 참여 디자인의 역할과 가치를 탐색합니다.",
Public AI canvas for AI-enabled public value A design science approach.pdf,"이 논문은 공공기관에서 AI 시스템 도입을 고려할 때 활용할 수 있는 'Public AI Canvas (PAIC)'라는 도구를 설계하고 평가합니다. PAIC는 공공 가치 중심의 AI 구현을 위한 비즈니스 모델 혁신에 대한 지침을 제공하며, 실무자가 공공기관에서 AI 배포를 안내하는 데 사용할 수 있는 검증된 도구입니다.","AI 시스템은 자동화, 개인화, 효율성, 효과성, 투명성, 설명 가능성, 윤리적 책임 및 개선된 삶의 질을 특징으로 합니다.","PAIC는 시민, 고객, 공공 기관, 공무원, 기업, 대학, 기술 회사, 비영리 단체 등 다양한 이해 관계자를 대상으로 합니다.","AI 시스템은 자동화, 개인화, 효율성, 효과성, 투명성, 설명 가능성, 윤리적 책임 및 삶의 질 개선과 같은 공공 가치를 제공합니다.","PAIC는 시민 피드백 루프, 공공-공공 파트너십, 공공-민간 파트너십, 공공-학술 파트너십, 부문 간 협업 등의 채널을 통해 가치를 전달합니다.",AI 시스템은 유비쿼터스 연결성 및 개인화된 서비스를 통해 시민과의 관계를 구축합니다.,"공공기관은 중앙 정부 예산, 공공 서비스 수수료, 세금 및 벌금으로부터 수익을 창출합니다.","AI 비즈니스 모델 운영에 필요한 핵심 자원은 데이터, 컴퓨팅 시스템, AI 팀 및 관리 팀입니다.","AI 비즈니스 모델 운영을 위해 수행해야 하는 중요한 활동은 AI 시스템 설계 및 배포, AI 실험, AI 연구 개발, 시민 참여 및 AI 거버넌스입니다.","AI 비즈니스 모델 운영을 위한 주요 파트너는 공공 기관, 공무원, 기업, 대학, 기술 회사 및 비영리 단체입니다.","AI 비즈니스 모델 운영에 발생하는 주요 비용 항목은 데이터 준비 비용, AI 시스템 개발 비용, AI 기술 구축 비용, AI 시스템 유지 관리 비용, AI 실험 및 R&D 비용입니다.",PAIC는 기존 비즈니스 모델 캔버스의 9가지 영역 외에 사회적 가치 및 사회적 비용을 추가하여 AI 비즈니스 모델의 특징을 설명합니다.,N,"PAIC는 공공기관의 AI 시스템 도입을 위한 의사결정 프레임워크로 활용될 수 있으며, AI 시스템의 잠재적 위험과 사회적 영향을 고려하는 데 도움이 됩니다.",
