논문 제목,핵심 내용,AI의 특징,고객 세그먼트,가치 제안,채널,고객 관계,수익 흐름,핵심 자원,핵심 활동,핵심 파트너십,비용 구조,추가영역 제시,비즈니스 캔버스 모델의 틀을 바꿔 새로운 비즈니스 캔버스 모델을 제시,비즈니스 모델 캔버스(BMC) 활용 여부,기타,오류
IoT Big Data Value Map How to Generate Value from IoT Data.pdf,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,JSON 추출 실패
Issues concerning IoT adoption for energy and comfort management in intelligent buildings in India.pdf,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,JSON 추출 실패
해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음
해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음
해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음
Navigating the new frontier the impact of artificial intelligence on students' entrepreneurial competencies.pdf,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,JSON 추출 실패
해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음
해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음
해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음
해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음
Research on Business Model Innovation of Online Education.pdf,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,JSON 추출 실패
해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음
Social Robot Co-Design Canvases A Participatory Design Framework.pdf,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,JSON 추출 실패
Text Mining Enabled CEET@I Methodology for Business Model Analysis with the Case of Shared bicycle.pdf,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,JSON 추출 실패
해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음
해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음
해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음
해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음
해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음,해당 항목 없음
