논문 제목,핵심 내용,AI의 특징,고객 세그먼트,가치 제안,채널,고객 관계,수익 흐름,핵심 자원,핵심 활동,핵심 파트너십,비용 구조,추가영역 제시,비즈니스 캔버스 모델의 틀을 바꿔 새로운 비즈니스 캔버스 모델을 제시,비즈니스 모델 캔버스(BMC) 활용 여부,기타,오류
Fundamental Concepts of Building a Marketing-Oriented Business Model of Retail Structures' Innovative Development.pdf,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,"결과 처리 오류: the JSON object must be str, bytes or bytearray, not dict"
Hypotheses engineering first essential steps of experiment-driven software development.pdf,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,"결과 처리 오류: the JSON object must be str, bytes or bytearray, not dict"
IDSS-BM Intelligent Decision Support System for Business Models.pdf,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,"결과 처리 오류: the JSON object must be str, bytes or bytearray, not dict"
IoT Big Data Value Map How to Generate Value from IoT Data.pdf,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,"결과 처리 오류: the JSON object must be str, bytes or bytearray, not dict"
Issues concerning IoT adoption for energy and comfort management in intelligent buildings in India.pdf,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,"결과 처리 오류: the JSON object must be str, bytes or bytearray, not dict"
Lessons Learned from Developing a Sustainability Awareness Framework for Software Engineering Using Design Science.pdf,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,"결과 처리 오류: the JSON object must be str, bytes or bytearray, not dict"
Metaverse Perspectives from Japan A Participatory Speculative Design Case Study.pdf,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,"결과 처리 오류: the JSON object must be str, bytes or bytearray, not dict"
Models for Innovative IoT Ecosystems.pdf,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,"결과 처리 오류: the JSON object must be str, bytes or bytearray, not dict"
Navigating the new frontier the impact of artificial intelligence on students' entrepreneurial competencies.pdf,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,"결과 처리 오류: the JSON object must be str, bytes or bytearray, not dict"
Participatory design of business models.pdf,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,"결과 처리 오류: the JSON object must be str, bytes or bytearray, not dict"
Public AI canvas for AI-enabled public value A design science approach.pdf,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,"결과 처리 오류: the JSON object must be str, bytes or bytearray, not dict"
"REBALANCING INTEGRATED, DEMAND-RESPONSIVE PASSENGER AND FREIGHT TRANSPORT – AN AGENT-BASED SIMULATION APPROACH.pdf",처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,"결과 처리 오류: the JSON object must be str, bytes or bytearray, not dict"
Reliable Cloud Software Development Architectures and Business Models Case Study RIDEaaS and GAE Launcher.pdf,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,"결과 처리 오류: the JSON object must be str, bytes or bytearray, not dict"
Research on Business Model Innovation of Online Education.pdf,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,"결과 처리 오류: the JSON object must be str, bytes or bytearray, not dict"
Research on the Business Model Innovation in Online Tourism Services A Case Study of Ctrip.pdf,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,"결과 처리 오류: the JSON object must be str, bytes or bytearray, not dict"
Social Robot Co-Design Canvases A Participatory Design Framework.pdf,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,"결과 처리 오류: the JSON object must be str, bytes or bytearray, not dict"
Text Mining Enabled CEET@I Methodology for Business Model Analysis with the Case of Shared bicycle.pdf,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,"결과 처리 오류: the JSON object must be str, bytes or bytearray, not dict"
The Augmentation of Interest in a Community Application for PetHub via Data-Informed Content Recommendations Tailored.pdf,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,"결과 처리 오류: the JSON object must be str, bytes or bytearray, not dict"
The hedonic price model of online short-term rental market based on machine learning.pdf,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,"결과 처리 오류: the JSON object must be str, bytes or bytearray, not dict"
The Qualitative Background of why a DSL knowledge based platform is needed in the context of Sustainability.pdf,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,"결과 처리 오류: the JSON object must be str, bytes or bytearray, not dict"
Towards an Educational Design Pattern Language for Massive Open Online Courses (MOOCs).pdf,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,"결과 처리 오류: the JSON object must be str, bytes or bytearray, not dict"
"Trigeneration based on the pyrolysis of rural waste in India Environmental impact, economic feasibility and business model innovation.pdf",처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,처리 시작,"결과 처리 오류: the JSON object must be str, bytes or bytearray, not dict"
