논문 제목,핵심 내용,비즈니스 모델 캔버스(BMC) 활용 여부,AI의 특징,고객 세그먼트,가치 제안,채널,고객 관계,수익 흐름,핵심 자원,핵심 활동,핵심 파트너십,비용 구조,추가영역 제시,비즈니스 캔버스 모델의 틀 변경 여부,기타,오류
Fundamental Concepts of Building a Marketing-Oriented Business Model of Retail Structures' Innovative Development,"본 논문은 혁신적인 무역 개발의 마케팅 지향성이 이러한 개발의 마케팅 관리를 필요로 한다고 주장하며, 소매 구조(RS)의 혁신적인 개발에 대한 관련 비즈니스 모델을 체계화하고, 혁신적인 개발을 위한 비즈니스 모델을 변화시키는 유망한 방향을 제시한다. 또한, 마케팅 활동 유형을 변경하고, 소득으로 생산된 가치의 일부를 획득하는 방법, RS 관리 메커니즘의 변화를 통해 회사가 가치 창출 또는 가치 획득의 논리를 변경하는 주요 방향을 제시한다.",Y,"인공지능은 컴퓨터 시스템이 인간의 지능이 필요한 작업을 수행할 수 있도록 개발하는 것을 의미하며, 이는 노동 수요에 대한 응답성, 지능형 장비의 발전과 관련되어 소매업의 운영 방식을 변화시키고 있다.","소매 구조(RS)의 고객, 제조업체, 브랜드 소유자","고객 만족도 극대화, 경쟁 우위 확보, 혁신적인 솔루션 제공","이메일, 모바일 폰, 소셜 미디어, 메시징 앱 등 다양한 채널을 통해 고객에게 접근","군중 소싱 통찰력, 옴니 채널, 관계 마케팅",정보 없음,"마케팅 지식 자본, IT 자산","마케팅 관리 모델링, 비즈니스 프로세스 통합, 혁신 전략 개발","무역 기업, 제조업체, 소비자 간 관계 형성",정보 없음,마케팅 지향적인 비즈니스 모델은 차별화된 경쟁 우위를 달성하고 고객 만족도를 극대화하기 위해 가치를 창출하고 획득하는 조직적 논리에 초점을 맞추고 있다.,N,본 연구는 Academic Excellence Project 5-100-2020의 지원을 받았다.,
Hypotheses Engineering: experiment-driven software development의 첫 번째 필수 단계,"이 논문은 사용자에게 실제로 필요한 기능을 구축하기 위해 실험을 통해 소프트웨어 개발을 유도하는 방법론을 제안한다. 전통적인 요구 사항 기반 개발과의 비교를 통해 '가설 엔지니어링'이라는 새로운 학문 분야를 제시하고, 가설을 적절히 다루는 것의 중요성을 강조한다. 또한 이 분야 내에서 실천 방법을 도출하고, 실무자를 돕기 위한 미래 연구 질문을 제안한다.",Y,"이 논문에서는 AI 기반 개발을 언급하며, 이는 '인공지능 기술을 사용하여 입력 데이터를 기반으로 작동하고 이전 작업에서 학습하는 컴포넌트를 생성'하는 방식을 의미한다.","소프트웨어 개발팀, 제품 관리자, 최종 사용자 (소프트웨어 기능의 가치를 평가받는 대상)","사용자에게 가치를 제공하는 기능 개발, 실험을 통한 학습 및 개선, 시간과 자원 낭비 감소, 데이터 기반 의사 결정","제품 또는 기능에 대한 실험, 사용자 인터뷰, A/B 테스트, 프로토타입","실험 결과를 통한 사용자 피드백 반영, 사용자 행동 데이터 분석, 가설 검증 및 개선을 통한 지속적인 상호 작용",정보 없음,"전문 소프트웨어 개발 인력, 실험 설계 및 분석 능력, 사용자 데이터, 비즈니스 목표 및 비전","가설 생성, 실험 설계, 데이터 수집 및 분석, 가설 검증, 결과 반영 및 개선","기술 기업, 연구 기관","인건비, 실험 수행 비용, 데이터 분석 비용, 도구 및 플랫폼 사용료","가설 엔지니어링은 요구사항 엔지니어링과 유사하지만, 최종 목표가 코드가 아닌 시장 및 사용자에 대한 학습이라는 점에서 차이가 있다. 따라서, 가설의 품질 관리 및 실험 설계가 특히 중요하다.",N,"이 논문은 실험 중심 소프트웨어 개발에서 가설의 중요성을 강조하고, 가설 엔지니어링이라는 새로운 분야를 제안한다. 또한, 실무자를 위한 연구 질문을 제시하여 향후 연구 방향을 제시한다.",
IDSS-BM: Intelligent Decision Support System for Business Models,"본 논문은 의사 결정자를 위해 비즈니스 모델 설계 결정을 지원하는 새로운 세대의 지능형 의사 결정 지원 시스템(IDSS-BM) 개발을 논의합니다. 제안된 시스템은 Case-Based Reasoning(CBR)을 사용하여 솔루션에 대한 설명을 제공함으로써 제안된 솔루션에 대한 신뢰도를 높이고, 비즈니스 스쿨에서 학습 도구로 활용될 수 있도록 합니다. 이 시스템은 과거의 솔루션을 분석하여 새로운 문제에 대한 솔루션을 생성하는 계산 방법론을 사용하며, 솔루션과 함께 그 획득 방법에 대한 설명을 제공합니다.",Y,"Case-Based Reasoning (CBR)을 활용하여 과거의 사례를 기반으로 새로운 문제에 대한 솔루션을 생성하고, 솔루션에 대한 설명을 제공합니다. 또한, 지능형 시스템이 제안하는 솔루션에 대한 신뢰도를 높이기 위해 'Why the Answer is a Good Answer'와 같은 설명 제공합니다.","도메인 전문가, 초보 관리자, 학생","비즈니스 모델 설계 결정 지원, 솔루션에 대한 설명 제공, 제안된 솔루션에 대한 신뢰도 향상",제공된 정보 없음,제공된 정보 없음,제공된 정보 없음,"전문 지식, 사례 기반 데이터베이스, 추론 엔진","사례 검색, 솔루션 재사용, 솔루션 수정, 사례 유지",제공된 정보 없음,제공된 정보 없음,"사용자 인터랙티브를 위한 Human-Machine Dialog 서브 모듈 개발, 사용자 피드백 반영, 오류 수정, 사용자 수준 변화에 따른 적응",N,연구의 한계점이나 향후 연구 방향에 대한 구체적인 언급은 없습니다.,
IoT Big Data Value Map: How to Generate Value from IoT Data,"본 논문은 IoT 데이터와 머신러닝, 데이터 마이닝 기술을 결합하여 비즈니스 가치를 창출하는 방법을 제시합니다. 기존 연구들을 분석하여 Value Proposition Canvas를 활용한 'IoT Big Data Value Map'이라는 새로운 프레임워크를 제안하며, 이는 원시 데이터로부터 실제 비즈니스 가치 창출까지의 로드맵을 제공합니다. 이 연구는 다양한 산업 분야에서 IoT 장치로부터 생성된 빅데이터 분석을 기반으로 비즈니스 모델 프로토타입을 개발하는 데 기여합니다.",Y,"데이터 마이닝 및 머신러닝 기술을 활용하여 IoT 데이터로부터 숨겨진 지식을 추출하고, 자동으로 학습하며 개선하는 능력","지식 관리, 농업, 식품 산업, 에너지 관리, 도시 관리, 건강 및 의료 과학 분야의 기업 및 개인","IoT 데이터 분석을 통해 효율성 증대, 비용 절감, 새로운 비즈니스 모델 개발 가능성 제시",정보 없음,정보 없음,정보 없음,"IoT 장치, 데이터 마이닝 알고리즘, Value Proposition Canvas","IoT 데이터 수집, 데이터 마이닝, Value Proposition Map 개발",정보 없음,정보 없음,"IoT, 데이터 마이닝, Value Proposition Map의 세 가지 주요 요소를 결합한 프레임워크 제시",N,"향후 연구 방향으로 Value Proposition Map의 고객 프로필 측면을 추가하고, 특정 산업에 집중하여 가치 창출 방안을 구체화할 것을 제안",
Issues concerning IoT adoption for energy and comfort management in intelligent buildings in India,"본 논문은 인도 내 지능형 건물에서 에너지 및 쾌적성 관리를 위한 IoT 도입에 관련된 주요 이슈를 델파이 방법을 통해 식별하고 가치 사슬 전반에 걸쳐 이러한 이슈를 조사합니다. 전문가 패널을 통해 식별된 140개의 이슈를 8개의 테마로 그룹화하고 순위를 매겨 'IoT 도입 지수'를 개발했으며, 이는 이해관계자들이 IoT 시스템을 평가하는 데 실질적으로 사용될 수 있습니다.",Y,"AI 기반 데이터 처리를 통해 사용자 중심의 에너지 및 쾌적성 관리 솔루션을 제공하며, 이는 자가 학습 능력과 사용자 환경과의 상호 작용을 통해 개선됩니다.","건물 소유주, 건축가, 건설 제품 제조업체, 건설 관리 전문가, 시설 관리자, HVAC 전문가, IoT/AI 솔루션 설계자, 건물 과학 전문가, 지속 가능성 컨설턴트 등 지능형 건물 가치 사슬 전반의 이해관계자","에너지 효율성 향상, 운영 비용 절감, 사용자 편의성 증대, 건물 성능 예측 가능성 향상, 실시간 데이터 수집 및 시각화 제공","IoT 기반 건물 관리 시스템 (BMS), 사용자 모바일 기기","자동화된 편의성 제어, 개인 맞춤형 편의성 설정, 사용자 피드백 기반 시스템 개선","정부 에너지 관세 보조금, 에너지 절감량에 따른 인센티브, 새로운 비즈니스 모델 (예: Building as a Service)","네트워크 센서, AI 기반 데이터 처리 시스템, 전문가 패널, 데이터셋","델파이 연구 수행, 데이터 분석, IoT 시스템 개발 및 구현, 사용자 교육","기술 기업, 연구 기관, 정부 부처","인건비, 설치 및 유지 보수 비용, 라이선스 비용, 에너지 소비 비용","인도 시장의 특성(고온 다습한 기후)을 고려한 에너지 효율적인 편안함(EEC)을 위한 IoT 시스템의 특성. 문화적 요소(개인 정보 보호, 공동 작업 공간) 및 기술 수용도 고려.",N,"인도 시장에서 IoT 구현의 어려움(높은 초기 비용, 유지 보수 문제, 기술적 문제)과 기회에 대한 논의. 이 연구는 인도 건물 시장에서 IoT 채택에 대한 최초의 연구 중 하나입니다.",
Design Science를 활용한 소프트웨어 엔지니어링을 위한 지속 가능성 인식 프레임워크 개발에서 얻은 교훈,"본 논문은 디자인 과학 연구를 통해 개발된 지속 가능성 인식 프레임워크(SusAF)의 개발 과정과 그 과정에서 얻은 교훈을 공유한다. SusAF는 소프트웨어 엔지니어가 시스템 개발 과정에서 잠재적인 지속 가능성 영향을 예측하고 완화할 수 있도록 지원하며, 논문은 SusAF 개발 중 직면한 과제와 이 과제가 소프트웨어 공학 연구, 교육 및 실무에 미치는 영향을 분석한다. 궁극적으로 본 연구는 지속 가능한 IT 제품 및 서비스 개발을 위한 도구 개발에 기여하고, 소프트웨어 엔지니어링 분야의 지속 가능성 인식을 제고하는 데 목표를 둔다.",N,정보 없음,"IT 실무자(소프트웨어 엔지니어, 소프트웨어 설계자 등), 학계(학생 및 연구원)","IT 제품 및 서비스의 잠재적인 단기, 중기 및 장기 지속 가능성 효과를 식별하고, IT 제품/서비스 개발 및 진화에 대한 의사 결정을 지원","SusAF 프레임워크 (시각화 다이어그램, 질문 시트, 워크북 등)","도구 사용 및 피드백 제공을 통한 상호 작용, 워크숍 및 교육 세션","정부 지원금 (카탈루냐 연구 대학 부서, EPSRC)","지속 가능성, 소프트웨어 엔지니어링, 디자인 과학 연구에 대한 지식, 데이터 세트, 협업 네트워크","SusAF 프레임워크 디자인 및 개발, 사용자 평가, 반복적인 개선, 사례 연구 수행","카탈루냐 연구 대학 부서, EPSRC, 산업 파트너(Partneur, Visma, Datamatrix)","인건비, 워크숍 운영 비용, 자료 개발 비용","윤리적 고려 사항: 소프트웨어 시스템의 지속 가능성에 미치는 영향은 환경, 사회, 경제, 개인 및 기술적 측면을 모두 고려해야 한다.",N,"연구의 한계: 장기간에 걸친 영향, 범위 및 측정의 어려움, 인류 중심적 관점. 향후 연구 방향: SusAF를 디자인 사고 방식 및 기존 측정 프레임워크와 결합, 애자일 방법론과의 통합.",
Metaverse Perspectives from Japan: A Participatory Speculative Design Case Study,"이 논문은 일본 시민들의 관점에서 미래 메타버스 사회에 대한 전망과 사회적, 윤리적 함의를 탐구하기 위해 참여적 사변 디자인(PSD) 접근 방식을 활용한다. 워크숍 프레임워크와 참여자들의 프로세스를 제시하여 PSD가 신기술에 대한 비판적 담론에 시민들을 참여시키는 데 효과적임을 보여준다. 분석을 통해, 참가자들이 메타버스가 통신, 사회적 상호 작용, 위기 대비, 정치 참여 등 다양한 사회 문제를 해결할 잠재력을 가지고 있다고 상상한다는 것을 밝혀내고, 미래 메타버스 사회에 대한 중요한 질문들을 제기한다.",N,"AI는 메타버스 내에서 인간 관계, 기술적 해결주의, 정치 및 기술, 세계화 및 지역 문화, 몰입 기술에 대한 중요한 질문을 제기하는 데 중요한 역할을 한다. 특히 AI 개체는 인간 작업을 수행하고 사회적 역할을 수행하며 사회적 관계를 구축하는 데 중요한 역할을 한다.","논문에서 제시된 솔루션이나 기술의 주요 사용자는 일본 시민들이며, 특히 미래 메타버스 사회에서 사회적 문제 해결 및 정치 참여에 관심을 가진 집단이 주요 대상 그룹이다. 또한, 재난 대비 훈련 시뮬레이션 서비스는 재난 발생 시 안전 확보에 대한 인식을 높이는 데 기여할 수 있다.","메타버스는 통신 및 사회적 상호 작용을 위한 개방형 디지털 공간을 제공하고, 개인은 자신을 표현할 수 있으며, 반자율적 아바타를 통해 다양한 상호 작용과 작업을 수행할 수 있다. AI 기반 집단적 성격은 제도화된 정치 영역에 연결되는 결과 매개체가 된다.","이 논문에서 언급된 채널은 가상 공간이며, 참여자들이 상상하는 미래의 가상 환경을 통해 기술이 전달되고 소통이 이루어진다.","AI 기반 집단적 성격은 제도화된 정치 영역에 연결되는 결과 매개체로 작용하며, 특히 AI 개체가 사회적 역할을 수행하고 사회적 관계를 구축할 때 인간과 AI 개체 간의 관계가 형성된다.","논문에 명시적인 수익 흐름 정보는 없으나, 정부 기관과의 협력을 통해 재난 대비 시스템을 구축하거나 연구 보조금을 통해 자금을 조달할 수 있음을 암시한다.","연구에 사용된 핵심 자원은 일본 시민들의 참여, PSD 워크숍, 디지털 툴킷, 협업 디지털 플랫폼 Mural, 워크숍 데이터 및 분석, AI 기술 등이다.","핵심 활동에는 PSD 워크숍을 통한 데이터 수집, AI 및 메타버스 기술에 대한 시민들의 인식 분석, 미래 메타버스 사회에 대한 사회적 및 윤리적 함의 분석, 워크숍 결과 해석 및 논의, 연구 결과 제시 등이 포함된다.","핵심 파트너십에는 일본 기상청, 연구 기관, 게임 회사, 문화 협회 Mutek, Goethe Institute Tokyo 등이 포함된다.","비용 구조에는 인건비, 워크숍 운영 비용, 데이터 분석 비용, 연구 개발 비용, AI 기술 관련 비용 등이 포함될 수 있다.","윤리적 고려 사항이 추가 영역으로 제시되었다. 이는 AI 개체 권리, 법적 및 도덕적 책임, 정체성 및 자율성, 소외, 기술 의존성, 과제 과부하 등과 관련된다.",N,"이 연구의 한계점으로는 표본이 일본 인구를 대표하지 못한다는 점, 기술에 대한 관심과 지식이 높은 사람들에게만 초점을 맞추었다는 점이 있다. 향후 연구 방향으로는 다양한 지역 맥락에서 더 많은 PSD 워크숍을 실시하고, 다양한 문화적으로 특정한 주제를 파악하는 것이 제시되었다.",
혁신적인 IoT 생태계를 위한 모델,"본 논문은 사물 인터넷(IoT)의 진화 배경과 비즈니스 관점의 변화를 간략하게 설명하고, 수직적 및 수평적 IoT 비즈니스 모델의 두 가지 유형을 분석한다. Intel, Amazon, Google, Microsoft, IBM 등 주요 기업들의 수평적 통합 접근 방식을 살펴보고, 비즈니스 모델 개발 방향을 제시하며 수평적 통합이 미래에 번성할 가능성이 높다고 결론짓는다.",N,"본 논문에서 직접적으로 AI의 특징을 언급하고 있지는 않지만, IoT 플랫폼을 통해 데이터 분석, 예측 분석 등의 기능을 제공할 수 있음을 간접적으로 시사한다.","IoT 솔루션을 사용하는 최종 사용자(end-user), 개발자(developer), 기업(businesses), 산업(industry)","IoT 생태계는 비즈니스 혁신, 재사용성, 상호 운용성을 제공하고, 데이터 수집 및 분석, 연결성, 보안, 관리 용이성 등의 가치를 제공한다. 또한, 플랫폼 제공자는 다양한 산업 분야의 고객에게 특화된 솔루션을 제공할 수 있다.","클라우드 기반 IoT 플랫폼(Intel IoT Platform, Google IoT Platform, Amazon IoT Platform, Microsoft Azure IoT Hub, IBM Watson IoT Platform), API, 장치 SDK","자동화된 지원, 맞춤형 서비스 제공","구독 모델, 사용량 기반 요금(pay-as-you-go pricing), 라이선스, 연구 보조금, 서비스 사용량에 따른 추가 요금 부과 (cross-selling opportunities)","전문 인력, 데이터셋, 컴퓨팅 인프라(클라우드), 특정 알고리즘, 파트너십, IoT 장치, 센서, 통신 칩, 마이크로 컨트롤러","연구 개발, 데이터 처리, 모델 학습, 시스템 배포, 사용자 교육, 데이터 수집 및 분석, 연결성 제공, 보안 강화, 플랫폼 유지보수","기술 기업(Intel, Google, Amazon, Microsoft, IBM), 통신 사업자, 센서 제조사, 장치 제조사, 소프트웨어 개발사","인건비, 인프라 비용, 유지보수 비용, 라이선스 비용, 데이터 저장 비용, 데이터 전송 비용","본 논문에서는 IoT 비즈니스 모델의 성공을 위해 임베디드 시스템 기술, 지능형 장치 통신, 네트워크 서비스, IoT 인프라 및 애플리케이션 서비스를 통합하는 것이 중요하다고 강조한다.",N,"본 논문은 IoT 플랫폼의 성숙도가 비즈니스 및 산업 IoT 시장에 매우 중요하며, 소비자 시장에는 상대적으로 영향이 적다고 지적한다. 또한, 성공적인 IoT 플랫폼은 강력한 제휴 관계를 통해 전체 IoT 가치 사슬을 강화해야 한다고 강조한다.",
Navigating the new frontier: the impact of artificial intelligence on students' entrepreneurial competencies (새로운 개척지 탐색: 인공지능이 학생들의 기업가적 역량에 미치는 영향),"본 연구는 기업가 정신 교육에서 ChatGPT와 같은 생성형 인공지능(GenAI)의 활용이 학생들의 기업가적 역량에 미치는 영향을 탐구합니다. 구체적으로, ChatGPT를 활용하여 비즈니스 모델 캔버스(BMC)를 개선하는 활동에 참여한 대학생들을 대상으로 설문조사를 실시하고 통계적, 텍스트 분석을 수행하여 ChatGPT가 기회 포착, 창의성, 비전, 아이디어 가치 평가, 윤리적 및 지속 가능한 사고와 같은 역량 강화에 기여할 수 있음을 밝혔습니다.",Y,"텍스트 생성 능력, 자연어 처리 능력, 다양한 주제에 대한 콘텐츠 생성 능력, 정보 요약 능력, 수학 문제 해결 능력, 데이터 분석 능력, 통찰력 제공 능력","기업가 정신 교육을 받는 대학생, 특히 BMC 개발 및 개선에 참여하는 학생","ChatGPT는 학생들에게 BMC 개선, 잠재적 사업 기회 식별, 시장 데이터 접근성 향상, 경쟁사 분석, 고객 세분화에 대한 통찰력 확보, 창의적인 아이디어 발상 지원, 의사 결정 과정 촉진 등의 가치를 제공합니다. 또한, 아이디어의 가치 평가 능력, 시장 통찰력, 경쟁 분석 능력, 잠재적인 사업 위험 감소 등의 혜택을 제공합니다.","수업 활동, 온라인 플랫폼, 교육 프로그램","자동화된 지원, 가상 튜터와의 대화형 학습, 맞춤형 피드백, 학생-AI 상호작용",정보 없음,"ChatGPT (또는 다른 GenAI 모델), 대규모 데이터셋, 컴퓨팅 인프라, BMC 프레임워크","ChatGPT 활용 교육 프로그램 개발, 데이터 수집 및 분석, 통계 분석, 텍스트 분석, 학생 설문조사","Ohio University, Free University of Bozen Bolzano, University of North Georgia, Emerald Publishing Limited","인건비, 교육 프로그램 개발 비용, 연구 데이터 접근 비용, ChatGPT API 사용 비용","윤리적 고려 사항 (AI 편향, 데이터 정확성, 표절 문제), 성별 및 전공에 따른 인식 차이, 장기적인 학습 효과 및 AI 의존성 문제, 창의성 감소 가능성",N,"연구의 주요 제한점은 소규모 표본 크기, 자발적 참여, 단일 대학에 국한된 연구라는 점입니다. 향후 연구에서는 더 넓은 범위의 기관에서 더 큰 표본을 사용하여 이러한 제한점을 극복할 수 있습니다.",
Participatory Design of Business Models,"본 논문은 사용자 주도 혁신과 개방형 혁신에 대한 관심이 새로운 제품이나 서비스 자체를 넘어 비즈니스 모델로 확장되는 추세에 주목한다. 특히 인터넷 상거래의 발전과 함께 비즈니스 모델링 과정에 참여 디자인 방법을 적용하여 다양한 이해관계자들을 참여시키고, 전통적인 제조 기업과 공공 기관들이 새로운 비즈니스 모델을 고려하도록 장려하는 것을 목표로 한다. 워크숍을 통해 비즈니스 모델 혁신에 대한 참여 디자인의 역할을 논의하고, 실제 기술 데모와 참가자들의 경험을 공유하며, 참여 디자인의 철학적 입장을 정립하고자 한다.",Y,정보 없음,"연구자, 실무자, 교육자 (참여 디자인 프로젝트에서 비즈니스 문제를 접했거나, 참여적 비즈니스 혁신 기술을 실험했거나, 참여 디자인이 취해야 할 입장에 대한 의견을 가진 사람들)","비즈니스 모델 혁신에 대한 참여 디자인의 역할 논의, 실질적인 기술 시연, 참가자 경험 공유, 참여 디자인의 철학적 입장 정립",워크숍,"참가자 간의 상호 작용 및 경험 공유, 토론",정보 없음,"참여 디자인 방법론, 참가자들의 경험, 사례 연구","워크숍 진행, 기술 시연, 토론 촉진",정보 없음,정보 없음,참여 디자인의 윤리적 고려사항: 디자이너가 착취하는 측과 착취당하는 측 중 누구의 편에 서야 하는가?,N,"논문은 워크숍 제안서이며, 참여 디자인이 비즈니스 모델 혁신에 기여할 수 있는지에 대한 논의를 촉진하는 것을 목표로 한다.",
Public AI canvas for AI-enabled public value: A design science approach,"본 논문은 공공 기관이 AI 시스템에 투자할 때 활용할 수 있는 Public AI Canvas (PAIC)라는 새로운 프레임워크를 제시합니다. 디자인 과학적 접근 방식을 사용하여 PAIC를 설계하고 평가했으며, PAIC는 공공 가치 중심의 AI 지원 계층, 공공 가치 논리 계층, 공공 가치 중심의 사회적 지침 계층의 세 가지 계층으로 구성됩니다. PAIC는 공공 기관의 비즈니스 모델 혁신을 위한 지침을 제공하고 AI 배포를 안내하는 검증된 도구로 활용될 수 있습니다.",Y,"AI 시스템은 공공 서비스를 자동화, 개인화하고 효율성과 효과를 향상시킬 수 있습니다. 그러나 AI 시스템은 편향성, 불투명성, 설명 불가능성과 같은 위험을 초래할 수도 있습니다. PAIC는 AI의 사회적, 윤리적 영향을 고려하도록 설계되었습니다.","공공 기관, 시민, 공공 서비스 사용자, 기술 기업, 연구 기관, 정부 부처, NGO","AI를 통해 공공 서비스를 개선하고, 사회적 가치를 창출하며, 시민의 삶의 질을 향상시키고, 공공 기관의 효율성과 효과를 증대시키는 것입니다.","시민 피드백 루프, 공공-공공 파트너십, 공공-민간 파트너십, 공공-학계 파트너십, 부문 간 협업","AI를 통해 공공 서비스에 대한 시민들의 접근성을 높이고, 개인화된 서비스를 제공합니다.","정부 예산, 공공 서비스 수수료, 세금, 벌금","데이터, 컴퓨팅 시스템, AI 팀, 행정팀","AI 시스템 설계 및 배포, AI 실험, AI R&D, 시민 참여, AI 거버넌스","공공 기관, 기업, 대학, 기술 기업, 비영리 단체","데이터 준비 비용, AI 시스템 개발 비용, AI 기술 구축 비용, AI 시스템 유지 관리 비용, AI 실험 및 R&D 비용","PAIC는 전통적인 BMC 프레임워크 외에 AI 시스템의 사회적, 윤리적 영향을 고려합니다. AI가 사회에 미치는 영향, AI 시스템의 공정성 및 투명성, AI 시스템의 책임성 등이 주요 고려 사항입니다.",Y,"연구의 한계점으로는 PAIC가 AI 시스템 배포의 모든 측면을 다루지 못한다는 점, PAIC가 공공 기관의 특정 요구 사항에 맞게 조정되어야 한다는 점이 있습니다. 향후 연구 방향으로는 PAIC를 다양한 공공 기관에 적용하여 PAIC의 효과를 평가하고, PAIC를 개선하기 위한 연구가 필요합니다.",
"REBALANCING INTEGRATED, DEMAND-RESPONSIVE PASSENGER AND FREIGHT TRANSPORT – AN AGENT-BASED SIMULATION APPROACH","본 논문은 통합 수요 대응형 여객 및 화물 운송(IDRT) 시스템의 효율적인 운영을 위한 재분배 전략을 제안하고, 에이전트 기반 시뮬레이션 모델을 통해 그 효과를 측정한다. 제안하는 재분배 접근 방식은 총 차량 주행 거리와 승객 대기 시간 측면에서 재분배가 없는 시스템보다 우수한 성능을 보일 수 있음을 입증하고, 특히 농촌 지역에서 IDRT 시스템의 효율적인 운영을 지원한다.",N,"본 논문에서는 머신러닝 모델(ML-model)을 활용하여 특정 모빌리티 클러스터에서 다른 클러스터로의 총 이동 횟수를 예측한다. 이 예측은 차량 재분배 전략의 핵심 요소로 사용되어, 수요 불균형을 해소하고 차량 활용도를 최적화하는 데 기여한다.","농촌 지역 주민, 화물 운송 업체","총 차량 주행 거리 감소, 승객 대기 시간 감소, 차량 활용도 증가",정보 없음,정보 없음,정보 없음,"에이전트 기반 시뮬레이션 모델, 머신러닝 모델, 교통 흐름 데이터, IDRT 차량","재분배 전략 개발, 시뮬레이션 모델 구축, 데이터 분석, 결과 평가",산업 파트너 (교통 흐름 데이터 제공),정보 없음,정보 없음,N,정보 없음,
Reliable Cloud Software Development Architectures and Business Models Case Study: RIDEaaS and GAE Launcher,"본 논문에서는 클라우드 환경에서 안정적인 소프트웨어 개발을 위한 아키텍처와 비즈니스 모델을 제안합니다. 클라우드 코어 서비스의 일부로서 소프트웨어 안정성 개념과 결함 허용 기술을 통합한 통합 개발 환경(IDE)을 클라우드 서비스로 구현하는 것을 목표로 합니다. 이를 통해 개인 데스크톱 환경에 독립적인 개발 환경을 제공하고, 클라우드 서비스 공급자가 직접 코드 개발 환경을 제공하며, 클라우드 개발자가 소프트웨어 수준에서 클라우드 시스템의 안정성을 관리할 수 있도록 합니다.",Y,정보 없음,"프리랜서 개발자, 중소규모 클라우드 지향 기업, 대규모 클라우드 기반 기업","코딩 유연성, 실시간 협업 코딩, 빠른 애플리케이션 배포, 정보 공유, 시간 및 비용 생산성 향상, 향상된 프리랜싱 기회","클라우드 콘솔 플랫폼, 일반적인 클라우드 고객, 전문적인 소셜 네트워크 (LinkedIn, Elance 등)",클라우드 최종 사용자 및 개발자 서비스,"온라인 코드 개발 및 배포, 클라우드 최종 사용자 및 개발자로부터 발생하는 수익, 타사 서비스와의 통합, 계약 계약, 전용 및 공유 클라우드 인프라 비용, 개발된 프로젝트 수에 따른 높은 수익","개발자, 프로젝트 관리자, 클라우드 애플리케이션, 클라우드 인프라",온라인 코드 개발 및 배포,"온라인 프로젝트 관리 도구 및 프레임워크 (Jira, ASANA 등), 클라우드 공급자 (Amazon, Azure, Google 등), API, 타사 라이브러리","개발 및 유지 관리 비용, 타사 서비스와의 통합, 계약 계약, 전용 및 공유 클라우드 인프라 비용","고가용성 코딩(High Availability Coding, HAC): 특정 구성 요소에 대해 개발자가 수동으로 개발하거나 클라우드 RaaS 프레임워크에서 자동 생성할 수 있는 고가용성 접근 방식을 요청할 수 있도록 합니다.",N,"본 논문에서는 클라우드 개발 환경을 서비스 형태로 제공하는 새로운 클라우드 서비스 RIDEaaS를 제안합니다. 또한, 클라우드 최종 사용자와 개발자가 소프트웨어의 중요한 구성 요소를 결정하고 결함 허용 기술을 적용할 수 있게 해주는 새로운 비즈니스 모델 HAC를 도입했습니다.",
